"Gene" "OTU" "query" "db" "genus" "class" "phylum"
"acr3" "OTU_0108" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0113" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0114" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0117" "Acidobacteria bacterium DSM 100886" "ncbi" "Luteitalea" NA "Acidobacteria"
"acr3" "OTU_0121" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0122" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0123" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0124" "Candidatus Dadabacteria bacterium RIFCSPHIGHO2_12_FULL_53_21" "ncbi" NA NA "Candidatus Dadabacteria"
"acr3" "OTU_0125" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0135" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0138" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0142" "Acidobacteriales bacterium 59-55" "ncbi" NA "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0147" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0156" "Terriglobus saanensis SP1PR4" "ncbi" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0160" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0165" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0183" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0184" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0188" "Acidobacteria bacterium DSM 100886" "ncbi" "Luteitalea" NA "Acidobacteria"
"acr3" "OTU_0190" "Streptomyces iranensis" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0191" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0192" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0205" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0206" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0209" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" "ncbi" NA NA "Candidatus Firestonebacteria"
"acr3" "OTU_0210" "Sphaerobacter thermophilus DSM 20745" "ncbi" "Sphaerobacter" "Thermomicrobia" "Chloroflexi"
"acr3" "OTU_0212" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0216" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0219" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0221" "Candidatus Propionivibrio aalborgensis" "ncbi" "Propionivibrio" "Betaproteobacteria" "Proteobacteria"
"acr3" "OTU_0224" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0228" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0231" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0241" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0242" "Mycobacterium vulneris" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0243" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0245" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0246" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0249" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0250" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0253" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0266" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0267" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0269" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0276" "Streptomyces cattleya NRRL 8057 = DSM 46488" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0277" "Ignavibacteria bacterium GWA2_55_11" "ncbi" NA "Ignavibacteria" "Ignavibacteriae"
"acr3" "OTU_0290" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0294" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0300" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0304" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0305" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0316" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0321" "Gemmatimonadetes bacterium SCN 70-22" "ncbi" NA NA "Gemmatimonadetes"
"acr3" "OTU_0324" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0325" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0327" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0339" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0349" "Actinobacteria bacterium 69-20" "ncbi" NA "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0358" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0360" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0370" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0375" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0378" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0390" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0396" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0399" "Armatimonadetes bacterium RBG_16_58_9" "ncbi" NA NA "Armatimonadetes"
"acr3" "OTU_0405" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0412" "Hassallia byssoidea VB512170" "ncbi" "Hassallia" NA "Cyanobacteria"
"acr3" "OTU_0418" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0420" "Mycobacterium kansasii" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0429" "Candidatus Rokubacteria bacterium RIFCSPHIGHO2_12_FULL_73_22" "ncbi" NA NA "Candidatus Rokubacteria"
"acr3" "OTU_0430" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0434" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0442" "Scytonema tolypothrichoides VB-61278" "ncbi" "Scytonema" NA "Cyanobacteria"
"acr3" "OTU_0444" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0446" "Bacillus niacini" "ncbi" "Bacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0451" "Sphaerobacter thermophilus DSM 20745" "ncbi" "Sphaerobacter" "Thermomicrobia" "Chloroflexi"
"acr3" "OTU_0463" "Tolypothrix campylonemoides VB511288" "ncbi" "Tolypothrix" NA "Cyanobacteria"
"acr3" "OTU_0468" "Mycobacterium xenopi 4042" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0471" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0478" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0483" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0485" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0486" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0492" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0509" "Sorangium cellulosum" "ncbi" "Sorangium" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0518" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0520" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0527" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0530" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0541" "Candidatus Dadabacteria bacterium RIFCSPHIGHO2_12_FULL_53_21" "ncbi" NA NA "Candidatus Dadabacteria"
"acr3" "OTU_0547" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0554" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0566" "Acidobacteria bacterium SCN 69-37" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0567" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0568" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0595" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0606" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0618" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0624" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0647" "Terriglobus roseus" "ncbi" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0658" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"aioA" "OTU_0004" "Chelatococcus sp. CO-6" "ncbi" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0005" "Bradyrhizobium sp. BR 10245" "ncbi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0008" "Burkholderia arationis" "ncbi" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0010" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_58" "ncbi" NA "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0013" "Thiocapsa sp. KS1" "ncbi" "Thiocapsa" "Gammaproteobacteria" "Proteobacteria"
"aioA" "OTU_0014" "Hyphomicrobium sp. SCN 65-11" "ncbi" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0015" "Bosea sp. DSM 18164" "ncbi" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0021" "Thiocapsa sp. KS1" "ncbi" "Thiocapsa" "Gammaproteobacteria" "Proteobacteria"
"aioA" "OTU_0023" "Roseomonas cervicalis ATCC 49957" "ncbi" "Roseomonas" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0022" "Ralstonia solanacearum" "ncbi" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0026" "Nitrobacter hamburgensis X14" "ncbi" "Nitrobacter" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0030" "Burkholderia arationis" "ncbi" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0032" "Hyphomicrobium sp. SCN 65-11" "ncbi" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0033" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13" "ncbi" NA "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0042" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13" "ncbi" NA "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0046" "Candidatus Muproteobacteria bacterium RBG_16_65_34" "ncbi" NA "Candidatus Muproteobacteria" "Proteobacteria"
"aioA" "OTU_0045" "Bradyrhizobium sp. LMTR 3" "ncbi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0048" "Bradyrhizobium sp. LMTR 3" "ncbi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0055" "Chelatococcus daeguensis" "ncbi" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0060" "Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_17" "ncbi" NA "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0078" "Candidatus Muproteobacteria bacterium RBG_16_65_34" "ncbi" NA "Candidatus Muproteobacteria" "Proteobacteria"
"arsA" "OTU_0066" "Richelia intracellularis HM01" "ncbi" "Richelia" NA "Cyanobacteria"
"arsA" "OTU_0112" "Richelia intracellularis HM01" "ncbi" "Richelia" NA "Cyanobacteria"
"arsA" "OTU_0228" "Caldilinea aerophila DSM 14535 = NBRC 104270" "ncbi" "Caldilinea" "Caldilineae" "Chloroflexi"
"intI" "OTU_0016" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"intI" "OTU_0043" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"intI" "OTU_0093" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"intI" "OTU_0222" "Acidithiobacillales bacterium SM23_46" "ncbi" NA "Acidithiobacillia" "Proteobacteria"
"intI" "OTU_0299" "Ferriphaselus amnicola" "ncbi" "Ferriphaselus" "Betaproteobacteria" "Proteobacteria"
"vanA" "OTU_0008" "Brevibacillus laterosporus" "ncbi" "Brevibacillus" "Bacilli" "Firmicutes"
"intI" "OTU_0025" "Candidatus Nitrospira nitrificans" "ncbi" "Nitrospira" "Nitrospira" "Nitrospirae"
"intI" "OTU_0153" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"acr3" "OTU_0254" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"vanA" "OTU_0017" "Brevibacillus laterosporus" "ncbi" "Brevibacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0309" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" "ncbi" NA NA "Candidatus Handelsmanbacteria"
"acr3" "OTU_0263" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0126" "Sorangium cellulosum" "ncbi" "Sorangium" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0163" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0322" "Ignavibacteria bacterium GWA2_55_11" "ncbi" NA "Ignavibacteria" "Ignavibacteriae"
"intI" "OTU_0279" "Dyella thiooxydans" "ncbi" "Dyella" "Gammaproteobacteria" "Proteobacteria"
"acr3" "OTU_0167" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0427" "Streptomyces iranensis" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"aioA" "OTU_0066" "Roseomonas cervicalis ATCC 49957" "ncbi" "Roseomonas" "Alphaproteobacteria" "Proteobacteria"
"intI" "OTU_0010" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"vanA" "OTU_0007" "Paenibacillus jilunlii" "ncbi" "Paenibacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0617" "Chlorobium limicola DSM 245" "ncbi" "Chlorobium" "Chlorobia" "Chlorobi"
"acr3" "OTU_0649" "Actinomadura sp. CNU-125" "ncbi" "Actinomadura" "Actinobacteria" "Actinobacteria"
"vanA" "OTU_0012" "Paenibacillus jilunlii" "ncbi" "Paenibacillus" "Bacilli" "Firmicutes"
"intI" "OTU_0063" "Candidatus Nitrospira nitrificans" "ncbi" "Nitrospira" "Nitrospira" "Nitrospirae"
"intI" "OTU_0120" "Candidatus Nitrospira nitrificans" "ncbi" "Nitrospira" "Nitrospira" "Nitrospirae"
"acr3" "OTU_0341" "Micromonospora coriariae" "ncbi" "Micromonospora" "Actinobacteria" "Actinobacteria"
"intI" "OTU_0018" "Candidatus Nitrospira nitrificans" "ncbi" "Nitrospira" "Nitrospira" "Nitrospirae"
"acr3" "OTU_0479" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"aioA" "OTU_0016" "Bradyrhizobium sp. LMTR 3" "ncbi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0009" "Devosia sp. 67-54" "ncbi" "Devosia" "Alphaproteobacteria" "Proteobacteria"
"intI" "OTU_0066" "Candidatus Contendobacter odensis Run_B_J11" "ncbi" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"acr3" "OTU_0465" "Leptolyngbya valderiana BDU 20041" "ncbi" "Leptolyngbya" NA "Cyanobacteria"
"acr3" "OTU_0154" "Acidobacteria bacterium SCN 69-37" "ncbi" NA NA "Acidobacteria"
"vanA" "OTU_0032" "Paenibacillus jilunlii" "ncbi" "Paenibacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0193" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0528" "Chloroflexi bacterium GWB2_54_36" "ncbi" NA NA "Chloroflexi"
"intI" "OTU_0231" "Candidatus Nitrospira nitrificans" "ncbi" "Nitrospira" "Nitrospira" "Nitrospirae"
"acr3" "OTU_0320" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0062" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0172" "Micromonospora coriariae" "ncbi" "Micromonospora" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0032" "Micromonospora saelicesensis" "ncbi" "Micromonospora" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0107" "Acidobacteriales bacterium 59-55" "ncbi" NA "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0017" "Actinomadura sp. CNU-125" "ncbi" "Actinomadura" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0050" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0467" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0597" "Conexibacter woesei DSM 14684" "ncbi" "Conexibacter" "Thermoleophilia" "Actinobacteria"
"arsM" "OTU_0305" "Acidobacteria bacterium SCGC AG-212-P17" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0042" "Micromonospora saelicesensis" "ncbi" "Micromonospora" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0397" "Micromonospora matsumotoense" "ncbi" "Micromonospora" "Actinobacteria" "Actinobacteria"
