"db" "query" "genus" "order" "family" "class" "phylum" "Organism"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_68_12"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Acidithiobacillales bacterium SM23_46" NA "Acidithiobacillales" NA "Acidithiobacillia" "Proteobacteria" "Acidithiobacillales bacterium SM23_46"
"ncbi" "Gemmatimonas sp. SG8_28" "Gemmatimonas" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonas sp. SG8_28"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_68_12"
"ncbi" "Anaerolinea thermophila UNI-1" "Anaerolinea" "Anaerolineales" "Anaerolineaceae" "Anaerolineae" "Chloroflexi" "Anaerolinea thermophila UNI-1"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Paenibacillus sp. 32O-W" "Paenibacillus" "Bacillales" "Paenibacillaceae" "Bacilli" "Firmicutes" "Paenibacillus sp. 32O-W"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Corynebacteriales" "Mycobacteriaceae" "Actinobacteria" "Actinobacteria" "Mycobacterium kansasii"
"ncbi" "Acidobacteria bacterium SCN 69-37" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium SCN 69-37"
"ncbi" "Rhizobiales bacterium 65-9" NA "Rhizobiales" NA "Alphaproteobacteria" "Proteobacteria" "Rhizobiales bacterium 65-9"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Terriglobus roseus" "Terriglobus" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Terriglobus roseus"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Armatimonadetes bacterium RBG_16_58_9" NA NA NA NA "Armatimonadetes" "Armatimonadetes bacterium RBG_16_58_9"
"ncbi" "Acidobacteria bacterium SCN 69-37" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium SCN 69-37"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Rhodospirillales bacterium URHD0017" NA "Rhodospirillales" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium URHD0017"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Cystobacter fuscus DSM 2262" "Cystobacter" "Myxococcales" "Archangiaceae" "Deltaproteobacteria" "Proteobacteria" "Cystobacter fuscus DSM 2262"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Micromonospora coriariae" "Micromonospora" "Micromonosporales" "Micromonosporaceae" "Actinobacteria" "Actinobacteria" "Micromonospora coriariae"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Chelativorans sp. BNC1" "Chelativorans" "Rhizobiales" "Phyllobacteriaceae" "Alphaproteobacteria" "Proteobacteria" "Chelativorans sp. BNC1"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Bradyrhizobium sp. Leaf396" "Bradyrhizobium" "Rhizobiales" "Bradyrhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. Leaf396"
"ncbi" "Streptomyces cattleya NRRL 8057 = DSM 46488" "Streptomyces" "Streptomycetales" "Streptomycetaceae" "Actinobacteria" "Actinobacteria" "Streptomyces cattleya NRRL 8057 = DSM 46488"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Solirubrobacterales bacterium 70-9" NA "Solirubrobacterales" NA "Thermoleophilia" "Actinobacteria" "Solirubrobacterales bacterium 70-9"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Corynebacteriales" "Mycobacteriaceae" "Actinobacteria" "Actinobacteria" "Mycobacterium kansasii"
"ncbi" "Pseudolabrys sp. Root1462" "Pseudolabrys" "Rhizobiales" "Xanthobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Pseudolabrys sp. Root1462"
"ncbi" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" NA "Bdellovibrionales" NA "Deltaproteobacteria" "Proteobacteria" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18"
"ncbi" "Ignavibacteria bacterium GWA2_55_11" NA NA NA "Ignavibacteria" "Ignavibacteriae" "Ignavibacteria bacterium GWA2_55_11"
"ncbi" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" NA "Bdellovibrionales" NA "Deltaproteobacteria" "Proteobacteria" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Corynebacteriales" "Mycobacteriaceae" "Actinobacteria" "Actinobacteria" "Mycobacterium kansasii"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_68_12"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Rhodospirillales" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium 69-11"
"ncbi" "Bradyrhizobium sp. Leaf396" "Bradyrhizobium" "Rhizobiales" "Bradyrhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. Leaf396"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" NA NA NA NA "Candidatus Handelsmanbacteria" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10"
"ncbi" "Acidocella aminolytica 101 = DSM 11237" "Acidocella" "Rhodospirillales" "Acetobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Acidocella aminolytica 101 = DSM 11237"
"ncbi" "Sorangium cellulosum" "Sorangium" "Myxococcales" "Polyangiaceae" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum"
"ncbi" "Dehalococcoidia bacterium SM23_28_1" NA NA NA "Dehalococcoidia" "Chloroflexi" "Dehalococcoidia bacterium SM23_28_1"
"ncbi" "Armatimonadetes bacterium RBG_16_67_12" NA NA NA NA "Armatimonadetes" "Armatimonadetes bacterium RBG_16_67_12"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Micromonospora coriariae" "Micromonospora" "Micromonosporales" "Micromonosporaceae" "Actinobacteria" "Actinobacteria" "Micromonospora coriariae"
"ncbi" "Amycolatopsis xylanica" "Amycolatopsis" "Pseudonocardiales" "Pseudonocardiaceae" "Actinobacteria" "Actinobacteria" "Amycolatopsis xylanica"
"ncbi" "Chloroflexi bacterium RBG_13_68_17" NA NA NA NA "Chloroflexi" "Chloroflexi bacterium RBG_13_68_17"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Alphaproteobacteria bacterium 62-8" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 62-8"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" NA NA NA NA "Candidatus Firestonebacteria" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8"
"ncbi" "Leptolinea tardivitalis" "Leptolinea" "Anaerolineales" "Anaerolineaceae" "Anaerolineae" "Chloroflexi" "Leptolinea tardivitalis"
"ncbi" "Candidatus Solibacter usitatus Ellin6076" "Candidatus Solibacter" "Solibacterales" "Solibacteraceae" "Solibacteres" "Acidobacteria" "Candidatus Solibacter usitatus Ellin6076"
"ncbi" "Acidobacteria bacterium DSM 100886" "Luteitalea" NA NA NA "Acidobacteria" "Acidobacteria bacterium DSM 100886"
"ncbi" "Mycobacterium heckeshornense" "Mycobacterium" "Corynebacteriales" "Mycobacteriaceae" "Actinobacteria" "Actinobacteria" "Mycobacterium heckeshornense"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Pelotomaculum thermopropionicum SI" "Pelotomaculum" "Clostridiales" "Peptococcaceae" "Clostridia" "Firmicutes" "Pelotomaculum thermopropionicum SI"
"ncbi" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" NA NA NA NA "Candidatus Handelsmanbacteria" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10"
"ncbi" "Marmoricola sp. Leaf446" "Marmoricola" "Propionibacteriales" "Nocardioidaceae" "Actinobacteria" "Actinobacteria" "Marmoricola sp. Leaf446"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA NA NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Chthonomonas calidirosea T49" "Chthonomonas" "Chthonomonadales" "Chthonomonadaceae" "Chthonomonadetes" "Armatimonadetes" "Chthonomonas calidirosea T49"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA NA NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Micromonospora coriariae" "Micromonospora" "Micromonosporales" "Micromonosporaceae" "Actinobacteria" "Actinobacteria" "Micromonospora coriariae"
"ncbi" "Chloroflexi bacterium RBG_19FT_COMBO_62_14" NA NA NA NA "Chloroflexi" "Chloroflexi bacterium RBG_19FT_COMBO_62_14"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Alicyclobacillus tengchongensis" "Alicyclobacillus" "Bacillales" "Alicyclobacillaceae" "Bacilli" "Firmicutes" "Alicyclobacillus tengchongensis"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19" NA NA NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19" NA NA NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19"
"ncbi" "Planctomycetes bacterium RBG_13_63_9" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium RBG_13_63_9"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Sorangium cellulosum" "Sorangium" "Myxococcales" "Polyangiaceae" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Acidobacteria bacterium SCN 69-37" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium SCN 69-37"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Diplodia seriata" "Diplodia" "Botryosphaeriales" "Botryosphaeriaceae" "Dothideomycetes" "Ascomycota" "Diplodia seriata"
"ncbi" "Saccharopolyspora antimicrobica" "Saccharopolyspora" "Pseudonocardiales" "Pseudonocardiaceae" "Actinobacteria" "Actinobacteria" "Saccharopolyspora antimicrobica"
"ncbi" "Planctomycetes bacterium RBG_13_63_9" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium RBG_13_63_9"
"ncbi" "Nitrospirae bacterium CG2_30_41_42" NA NA NA NA "Nitrospirae" "Nitrospirae bacterium CG2_30_41_42"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
