"db" "query" "genus" "class" "phylum"
"ncbi" "Candidatus Muproteobacteria bacterium RBG_16_65_34" NA "Candidatus Muproteobacteria" "Proteobacteria"
"ncbi" "Chelatococcus daeguensis" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_17" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Caldilinea aerophila DSM 14535 = NBRC 104270" "Caldilinea" "Caldilineae" "Chloroflexi"
"ncbi" "Richelia intracellularis HM01" "Richelia" NA "Cyanobacteria"
"ncbi" "Candidatus Contendobacter odensis Run_B_J11" "Candidatus Contendobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidithiobacillales bacterium SM23_46" NA "Acidithiobacillia" "Proteobacteria"
"ncbi" "Ferriphaselus amnicola" "Ferriphaselus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium SCGC AG-212-J23" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Brevibacillus laterosporus" "Brevibacillus" "Bacilli" "Firmicutes"
"ncbi" "Dyella thiooxydans" "Dyella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces iranensis" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Actinomadura sp. CNU-125" "Actinomadura" "Actinobacteria" "Actinobacteria"
"ncbi" "Chlorobium limicola DSM 245" "Chlorobium" "Chlorobia" "Chlorobi"
"ncbi" "Paenibacillus jilunlii" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Candidatus Nitrospira nitrificans" "Nitrospira" "Nitrospira" "Nitrospirae"
"ncbi" "Micromonospora coriariae" "Micromonospora" "Actinobacteria" "Actinobacteria"
"ncbi" "Bradyrhizobium sp. LMTR 3" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sorangium cellulosum" "Sorangium" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Devosia sp. 67-54" "Devosia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA "Verrucomicrobia"
"ncbi" "Leptolyngbya valderiana BDU 20041" "Leptolyngbya" NA "Cyanobacteria"
"ncbi" "Chloroflexi bacterium GWB2_54_36" NA NA "Chloroflexi"
"ncbi" "Conexibacter woesei DSM 14684" "Conexibacter" "Thermoleophilia" "Actinobacteria"
"ncbi" "Micromonospora matsumotoense" "Micromonospora" "Actinobacteria" "Actinobacteria"
"ncbi" "Oscillatoriales cyanobacterium JSC-12" NA NA "Cyanobacteria"
"ncbi" "Sulfurifustis variabilis" "Sulfurifustis" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacillus flagellatus KT" "Methylobacillus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium SG8_39" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodanobacter sp. Root179" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium OLB13" NA NA "Chloroflexi"
"ncbi" "Bradyrhizobium sp. NAS96.2" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Xanthobacter autotrophicus Py2" "Xanthobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Micromonospora saelicesensis" "Micromonospora" "Actinobacteria" "Actinobacteria"
"ncbi" "Ralstonia insidiosa" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodanobacter sp. Root480" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_63_16" NA NA "Candidatus Omnitrophica"
"ncbi" "Nitrosococcus watsonii C-113" "Nitrosococcus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Accumulibacter sp. SK-02" "Candidatus Accumulibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Alicycliphilus sp. B1" "Alicycliphilus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Propionivibrio sp. S1" "Propionivibrio" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Desulfofervidus auxilii" "Candidatus Desulfofervidus" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Roseomonas cervicalis ATCC 49957" "Roseomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28" NA NA "Acidobacteria"
"ncbi" "Acidobacteriales bacterium 13_2_20CM_55_8" NA "Acidobacteriia" "Acidobacteria"
"ncbi" "Thiolapillus brandeum" "Thiolapillus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium SCN 69-37" NA NA "Acidobacteria"
"ncbi" "Leptolyngbya boryana IAM M-101" "Leptolyngbya" NA "Cyanobacteria"
"ncbi" "Geobacter metallireducens GS-15" "Geobacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Solibacter usitatus Ellin6076" "Candidatus Solibacter" "Solibacteres" "Acidobacteria"
"ncbi" "Gemmatimonas sp. SG8_28" "Gemmatimonas" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18" NA NA "Acidobacteria"
"ncbi" "Sulfuricaulis limicola" "Sulfuricaulis" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium 13_1_40CM_55_7" NA NA "Chloroflexi"
"ncbi" "Nitrococcus mobilis Nb-231" "Nitrococcus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Sideroxydans lithotrophicus ES-1" "Sideroxydans" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteriales bacterium 13_1_40CM_3_55_5" NA "Acidobacteriia" "Acidobacteria"
"ncbi" "Leptolyngbya sp. PCC 7375" "Leptolyngbya" NA "Cyanobacteria"
"ncbi" "Steroidobacter denitrificans" "Steroidobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11" NA NA "Acidobacteria"
"ncbi" "Smithella sp. SDB" "Smithella" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Bacteroidetes bacterium 46-16" NA NA "Bacteroidetes"
"ncbi" "Methylomonas methanica MC09" "Methylomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Herbaspirillum hiltneri N3" "Herbaspirillum" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Scytonema tolypothrichoides VB-61278" "Scytonema" NA "Cyanobacteria"
"ncbi" "Dehalococcoidia bacterium SM23_28_1" NA "Dehalococcoidia" "Chloroflexi"
"ncbi" "Bacillus sp. 1NLA3E" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Acidobacteria bacterium 13_1_20CM_2_65_9" NA NA "Acidobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_64_23" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "miscellaneous Crenarchaeota group archaeon SMTZ-80" NA NA "Candidatus Bathyarchaeota"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_50_11" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Kuenenia stuttgartiensis" "Candidatus Kuenenia" "Planctomycetia" "Planctomycetes"
"ncbi" "Nitrosococcus halophilus Nc 4" "Nitrosococcus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. AcH 505" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Chlorobium phaeobacteroides DSM 266" "Chlorobium" "Chlorobia" "Chlorobi"
"ncbi" "Candidatus Propionivibrio aalborgensis" "Propionivibrio" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_1_20CM_4_57_11" NA NA "Acidobacteria"
"ncbi" "Candidatus Rokubacteria bacterium RIFCSPLOWO2_02_FULL_72_37" NA NA "Candidatus Rokubacteria"
"ncbi" "Betaproteobacteria bacterium RBG_16_64_18" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Magnetomorum sp. HK-1" "Candidatus Magnetomorum" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium SCGC AG-212-P17" NA NA "Acidobacteria"
"ncbi" "Nocardioides szechwanensis" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Chloroflexi bacterium OLB14" NA NA "Chloroflexi"
"ncbi" "Halothiobacillus sp. LS2" "Halothiobacillus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_1_40CM_4_61_5" NA NA "Acidobacteria"
"ncbi" "Desulfobacula toluolica Tol2" "Desulfobacula" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Pseudomonas alcaligenes" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_1_40CM_2_60_7" NA NA "Acidobacteria"
"ncbi" "Candidatus Rokubacteria bacterium RIFCSPLOWO2_12_FULL_73_47" NA NA "Candidatus Rokubacteria"
"ncbi" "Nitrosomonas eutropha C91" "Nitrosomonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Lysobacter arseniciresistens ZS79" "Lysobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Muproteobacteria bacterium RBG_16_60_9" NA "Candidatus Muproteobacteria" "Proteobacteria"
"ncbi" "Ktedonobacter racemifer DSM 44963" "Ktedonobacter" "Ktedonobacteria" "Chloroflexi"
"ncbi" "Acidobacteria bacterium 13_1_40CM_65_14" NA NA "Acidobacteria"
"ncbi" "Candidatus Aminicenantes bacterium RBG_19FT_COMBO_65_30" NA NA "Candidatus Aminicenantes"
"ncbi" "Streptomyces sp. PRh5" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Candidatus Rokubacteria bacterium 13_2_20CM_2_70_11" NA NA "Candidatus Rokubacteria"
"ncbi" "Curvibacter sp. PAE-UM" "Curvibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopseudomonas palustris CGA009" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_2_20CM_58_27" NA NA "Acidobacteria"
"ncbi" "Nitrosomonas europaea" "Nitrosomonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Nocardioides sp. Root122" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Actinobacteria bacterium DSM 45722" NA "Actinobacteria" "Actinobacteria"
"ncbi" "Nocardioides psychrotolerans" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Alicyclobacillus sp. USBA-503" "Alicyclobacillus" "Bacilli" "Firmicutes"
"ncbi" "Rhodopseudomonas palustris" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatimonadetes bacterium 13_1_40CM_3_69_22" NA NA "Gemmatimonadetes"
"ncbi" "Gammaproteobacteria bacterium SG8_30" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Nocardioidaceae bacterium Broad-1" NA "Actinobacteria" "Actinobacteria"
"ncbi" "Burkholderia sp. LMG 29324" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Dehalogenimonas lykanthroporepellens BL-DC-9" "Dehalogenimonas" "Dehalococcoidia" "Chloroflexi"
"ncbi" "Gemmatimonas sp. SM23_52" "Gemmatimonas" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Rhodopseudomonas pseudopalustris" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium alhagi CCNWXJ12-2" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Phycisphaerae bacterium SG8_4" NA "Phycisphaerae" "Planctomycetes"
"ncbi" "Candidatus Rokubacteria bacterium 13_1_40CM_3_69_38" NA NA "Candidatus Rokubacteria"
"ncbi" "Candidatus Accumulibacter sp. SK-01" "Candidatus Accumulibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Muproteobacteria bacterium RBG_16_62_13" NA "Candidatus Muproteobacteria" "Proteobacteria"
"ncbi" "Omnitrophica bacterium RIFOXYB12_FULL_50_7" NA NA "Candidatus Omnitrophica"
"ncbi" "Actinoplanes teichomyceticus" "Actinoplanes" "Actinobacteria" "Actinobacteria"
"ncbi" "Bradyrhizobium japonicum" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Magnetospirillum magnetotacticum MS-1" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Fimbriimonas ginsengisoli Gsoil 348" "Fimbriimonas" "Fimbriimonadia" "Armatimonadetes"
"ncbi" "Mycobacterium heckeshornense" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Pseudomonas putida" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ectothiorhodospira sp. BSL-9" "Ectothiorhodospira" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces toyocaensis" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Chloroflexi bacterium OLB15" NA NA "Chloroflexi"
"ncbi" "Rhodomicrobium udaipurense JA643" "Rhodomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces decoyicus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Kibdelosporangium sp. MJ126-NF4" "Kibdelosporangium" "Actinobacteria" "Actinobacteria"
"ncbi" "Paraburkholderia telluris" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus circulans" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_67_28" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatimonadetes bacterium 13_2_20CM_2_66_5" NA NA "Gemmatimonadetes"
"ncbi" "Rhodopseudomonas palustris BisB18" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. 852002-51163_SCH5372311" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Pleurocapsa sp. PCC 7327" "Pleurocapsa" NA "Cyanobacteria"
"ncbi" "Verrucomicrobia bacterium 13_1_20CM_3_54_17" NA NA "Verrucomicrobia"
"ncbi" "Gemmatimonas phototrophica" "Gemmatimonas" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Bacillus cereus Rock3-44" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Nitrobacter hamburgensis X14" "Nitrobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatimonadetes bacterium 13_2_20CM_70_9" NA NA "Gemmatimonadetes"
"ncbi" "Chloroflexi bacterium RBG_13_68_17" NA NA "Chloroflexi"
"ncbi" "Clostridium argentinense CDC 2741" "Clostridium" "Clostridia" "Firmicutes"
"ncbi" "Acidobacteria bacterium 13_1_20CM_3_58_11" NA NA "Acidobacteria"
"ncbi" "Nitrospirae bacterium GWC2_57_13" NA NA "Nitrospirae"
"ncbi" "Acidobacteria bacterium 13_1_40CM_4_58_4" NA NA "Acidobacteria"
"ncbi" "Bradyrhizobium oligotrophicum S58" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Synechococcus sp. PCC 73109" "Synechococcus" NA "Cyanobacteria"
"ncbi" "Chloroflexi bacterium RBG_19FT_COMBO_62_14" NA NA "Chloroflexi"
"ncbi" "Aurantimonas manganoxydans SI85-9A1" "Aurantimonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. NRRL F-4711" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Bradyrhizobium sp. Leaf396" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium manausense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_02_67_12" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium retamae" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Opitutaceae bacterium TAV5" NA "Opitutae" "Verrucomicrobia"
"ncbi" "Verrucomicrobia bacterium GWF2_62_7" NA NA "Verrucomicrobia"
"ncbi" "Leptolinea tardivitalis" "Leptolinea" "Anaerolineae" "Chloroflexi"
"ncbi" "Thermoactinomyces vulgaris" "Thermoactinomyces" "Bacilli" "Firmicutes"
"ncbi" "Paenibacillus sp. 32O-W" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Gemmatimonadetes bacterium 13_1_40CM_66_11" NA NA "Gemmatimonadetes"
"ncbi" "Methylocella silvestris BL2" "Methylocella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus thuringiensis MC28" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Tetrasphaera japonica T1-X7" "Tetrasphaera" "Actinobacteria" "Actinobacteria"
"ncbi" "Roseiflexus castenholzii DSM 13941" "Roseiflexus" "Chloroflexia" "Chloroflexi"
"ncbi" "Tepidibacillus sp. HK-1" "Tepidibacillus" "Bacilli" "Firmicutes"
"ncbi" "Gemmatimonadetes bacterium 13_2_20CM_69_27" NA NA "Gemmatimonadetes"
"ncbi" "Verrucomicrobia bacterium 61-8" NA NA "Verrucomicrobia"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobiales bacterium 65-9" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Nitrospirae bacterium 13_1_40CM_4_62_6" NA NA "Nitrospirae"
"ncbi" "Mycobacterium heraklionense" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Xanthomonas perforans" "Xanthomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Spirochaetes bacterium RBG_13_68_11" NA NA "Spirochaetes"
"ncbi" "Rhizobium miluonense" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Rokubacteria bacterium GWC2_70_24" NA NA "Candidatus Rokubacteria"
"ncbi" "Rhizomicrobium sp. SCGC AG-212-E05" "Rhizomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Peptococcaceae bacterium CEB3" NA "Clostridia" "Firmicutes"
"ncbi" "Actinobacteria bacterium 13_1_20CM_2_66_18" NA NA "Actinobacteria"
"ncbi" "Gemmatimonas sp. SG8_38_2" "Gemmatimonas" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Legionella erythra" "Legionella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Tepidicaulis marinus" "Tepidicaulis" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. ORS 375" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatimonadetes bacterium RIFCSPLOWO2_02_FULL_71_11" NA NA "Gemmatimonadetes"
"ncbi" "Mycobacterium abscessus subsp. abscessus" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Methyloversatilis sp. RAC08" "Methyloversatilis" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. S23321" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidovorax ebreus TPSY" "Acidovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatimonadetes bacterium 13_1_40CM_69_22" NA NA "Gemmatimonadetes"
"ncbi" "Anaerolineae bacterium CG1_02_58_13" NA "Anaerolineae" "Chloroflexi"
"ncbi" "Rhodanobacter sp. Root627" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Legionella hackeliae" "Legionella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhodospirillales bacterium URHD0017" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Spirochaetes bacterium RBG_13_51_14" NA NA "Spirochaetes"
"ncbi" "Actinobacteria bacterium 13_2_20CM_2_66_6" NA NA "Actinobacteria"
"ncbi" "Microlunatus phosphovorus NM-1" "Microlunatus" "Actinobacteria" "Actinobacteria"
"ncbi" "Chloroflexi bacterium 13_1_40CM_67_9" NA NA "Chloroflexi"
"ncbi" "Blastochloris viridis" "Blastochloris" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhodobacter sp. SW2" "Rhodobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Niastella koreensis GR20-10" "Niastella" "Chitinophagia" "Bacteroidetes"
"ncbi" "Alphaproteobacteria bacterium 62-8" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Afipia sp. Root123D2" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Microbacterium sp. SCN 70-10" "Microbacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Anaerolinea thermophila UNI-1" "Anaerolinea" "Anaerolineae" "Chloroflexi"
"ncbi" "Terasakiella sp. PR1" "Terasakiella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobacteriales bacterium 40-81" NA "Sphingobacteriia" "Bacteroidetes"
"ncbi" "Terriglobus roseus DSM 18391" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"ncbi" "Actinobacteria bacterium OV320" NA "Actinobacteria" "Actinobacteria"
"ncbi" "Mesorhizobium sp. WSM3873" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b" NA NA "Acidobacteria"
"ncbi" "Gammaproteobacteria bacterium NRL1" "Candidatus Tenderia" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus sp. VT-16-70" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Solirubrobacterales bacterium 67-14" NA "Thermoleophilia" "Actinobacteria"
"ncbi" "Oligotropha carboxidovorans OM5" "Oligotropha" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidocella sp. MX-AZ02" "Acidocella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Chitinophaga sp. CF118" "Chitinophaga" "Chitinophagia" "Bacteroidetes"
"ncbi" "Collimonas fungivorans Ter331" "Collimonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Planctomycetes bacterium RBG_13_60_9" NA NA "Planctomycetes"
"ncbi" "Rhodothermaceae bacterium RA" NA NA "Bacteroidetes"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15" NA NA "Acidobacteria"
"ncbi" "Candidatus Peregrinibacteria bacterium CG1_02_54_53" NA NA "Candidatus Peregrinibacteria"
