"Gene" "OTU" "query" "db" "genus" "class" "phylum"
"acr3" "OTU_0326" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0328" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0335" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0343" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0360" "Actinobacteria bacterium 69-20" "ncbi" NA "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0364" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0375" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0378" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0389" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0397" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0399" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0408" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0413" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0417" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0434" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0444" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0446" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0449" "Armatimonadetes bacterium RBG_16_58_9" "ncbi" NA NA "Armatimonadetes"
"acr3" "OTU_0453" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0458" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0466" "Hassallia byssoidea VB512170" "ncbi" "Hassallia" NA "Cyanobacteria"
"acr3" "OTU_0478" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0479" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0485" "Mycobacterium kansasii" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0500" "Candidatus Rokubacteria bacterium RIFCSPHIGHO2_12_FULL_73_22" "ncbi" NA NA "Candidatus Rokubacteria"
"acr3" "OTU_0502" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0505" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0510" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0521" "Scytonema tolypothrichoides VB-61278" "ncbi" "Scytonema" NA "Cyanobacteria"
"acr3" "OTU_0522" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0527" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0530" "Bacillus niacini" "ncbi" "Bacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0537" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0540" "Sphaerobacter thermophilus DSM 20745" "ncbi" "Sphaerobacter" "Thermomicrobia" "Chloroflexi"
"acr3" "OTU_0548" "Alicyclobacillus tengchongensis" "ncbi" "Alicyclobacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0560" "Tolypothrix campylonemoides VB511288" "ncbi" "Tolypothrix" NA "Cyanobacteria"
"acr3" "OTU_0563" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0567" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0568" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0572" "Mycobacterium xenopi 4042" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0577" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0585" "Streptomyces iranensis" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0590" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0594" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0599" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0600" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0604" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0605" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0611" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0612" "Sphaerobacter thermophilus DSM 20745" "ncbi" "Sphaerobacter" "Thermomicrobia" "Chloroflexi"
"acr3" "OTU_0613" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" "ncbi" NA "Oligoflexia" "Proteobacteria"
"acr3" "OTU_0617" "Mycobacterium kansasii" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0620" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0621" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0654" "Sorangium cellulosum" "ncbi" "Sorangium" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0664" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0666" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0672" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0675" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0678" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0679" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0684" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0689" "Chthonomonas calidirosea T49" "ncbi" "Chthonomonas" "Chthonomonadetes" "Armatimonadetes"
"acr3" "OTU_0697" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0700" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0701" "Candidatus Dadabacteria bacterium RIFCSPHIGHO2_12_FULL_53_21" "ncbi" NA NA "Candidatus Dadabacteria"
"acr3" "OTU_0703" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0710" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0718" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0743" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0745" "Acidobacteria bacterium SCN 69-37" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0747" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0748" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0749" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0750" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0770" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0772" "Mycobacterium vulneris" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0778" "Acidobacteriales bacterium 59-55" "ncbi" NA "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0779" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0796" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0798" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0802" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0817" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0824" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0826" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0828" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0830" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0840" "Alicyclobacillus tengchongensis" "ncbi" "Alicyclobacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0842" "Mycobacterium vulneris" "ncbi" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0851" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0859" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0864" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0879" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0880" "Candidatus Dadabacteria bacterium RIFCSPHIGHO2_12_FULL_53_21" "ncbi" NA NA "Candidatus Dadabacteria"
"acr3" "OTU_0885" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0886" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0891" "Streptomyces cattleya NRRL 8057 = DSM 46488" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0892" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0896" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0899" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0902" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0904" "Terriglobus roseus" "ncbi" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0915" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0921" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0922" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0924" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"aioA" "OTU_0001" "Hyphomicrobium sp. SCN 65-11" "ncbi" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0002" "Burkholderia arationis" "ncbi" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0003" "Bradyrhizobium sp. BR 10245" "ncbi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0005" "Ralstonia solanacearum" "ncbi" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"aioA" "OTU_0006" "Thiocapsa sp. KS1" "ncbi" "Thiocapsa" "Gammaproteobacteria" "Proteobacteria"
"aioA" "OTU_0007" "Bosea sp. DSM 18164" "ncbi" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0008" "Chelatococcus daeguensis" "ncbi" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"aioA" "OTU_0015" "Burkholderia arationis" "ncbi" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
