"db" "query" "genus" "class" "phylum" "Organism"
"ncbi" "Nocardioides sp. JS614" "Nocardioides" "Actinobacteria" "Actinobacteria" "Nocardioides sp. JS614"
"ncbi" "Sorangium cellulosum" "Sorangium" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum"
"ncbi" "Paenibacillus sp. A3" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus sp. A3"
"ncbi" "Dehalogenimonas sp. WBC-2" "Dehalogenimonas" "Dehalococcoidia" "Chloroflexi" "Dehalogenimonas sp. WBC-2"
"ncbi" "Chlorobaculum parvum NCIB 8327" "Chlorobaculum" "Chlorobia" "Chlorobi" "Chlorobaculum parvum NCIB 8327"
"ncbi" "Hyphomicrobium denitrificans ATCC 51888" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria" "Hyphomicrobium denitrificans ATCC 51888"
"ncbi" "Afipia sp. P52-10" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia sp. P52-10"
"ncbi" "Rhizobium sp. CF080" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. CF080"
"ncbi" "Bradyrhizobium lablabi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium lablabi"
"ncbi" "Pseudomonas batumici" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas batumici"
"ncbi" "Burkholderia sp. GAS332" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. GAS332"
"ncbi" "Magnetospirillum magneticum AMB-1" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria" "Magnetospirillum magneticum AMB-1"
"ncbi" "Shewanella xiamenensis" "Shewanella" "Gammaproteobacteria" "Proteobacteria" "Shewanella xiamenensis"
"ncbi" "Phenylobacterium zucineum HLK1" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium zucineum HLK1"
"ncbi" "Paracoccus versutus" "Paracoccus" "Alphaproteobacteria" "Proteobacteria" "Paracoccus versutus"
"ncbi" "Rhizobium multihospitium" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium multihospitium"
"ncbi" "Beijerinckia sp. 28-YEA-48" "Beijerinckia" "Alphaproteobacteria" "Proteobacteria" "Beijerinckia sp. 28-YEA-48"
"ncbi" "Bradyrhizobium sp. cf659" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. cf659"
"ncbi" "Acetobacter pasteurianus" "Acetobacter" "Alphaproteobacteria" "Proteobacteria" "Acetobacter pasteurianus"
"ncbi" "Rhodopseudomonas palustris BisB18" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas palustris BisB18"
"ncbi" "Pseudomonas jinjuensis" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas jinjuensis"
"ncbi" "Microvirga sp. BSC39" "Microvirga" "Alphaproteobacteria" "Proteobacteria" "Microvirga sp. BSC39"
"ncbi" "Sphingomonas sp. WHSC-8" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. WHSC-8"
"ncbi" "Burkholderia multivorans ATCC 17616" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia multivorans ATCC 17616"
"ncbi" "Mycobacterium sp. ST-F2" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. ST-F2"
"ncbi" "Acetobacteraceae bacterium AT-5844" NA "Alphaproteobacteria" "Proteobacteria" "Acetobacteraceae bacterium AT-5844"
"ncbi" "Microvirga guangxiensis" "Microvirga" "Alphaproteobacteria" "Proteobacteria" "Microvirga guangxiensis"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium 69-11"
"ncbi" "Phenylobacterium zucineum HLK1" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium zucineum HLK1"
"ncbi" "Bordetella bronchiseptica OSU054" "Bordetella" "Betaproteobacteria" "Proteobacteria" "Bordetella bronchiseptica OSU054"
"ncbi" "Burkholderia sp. ST111" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. ST111"
"ncbi" "Burkholderia megalochromosomata" "Caballeronia" "Betaproteobacteria" "Proteobacteria" "Burkholderia megalochromosomata"
"ncbi" "Cedecea neteri" "Cedecea" "Gammaproteobacteria" "Proteobacteria" "Cedecea neteri"
"ncbi" "Azotobacter vinelandii DJ" "Azotobacter" "Gammaproteobacteria" "Proteobacteria" "Azotobacter vinelandii DJ"
"ncbi" "Bradyrhizobium erythrophlei" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium erythrophlei"
"ncbi" "Bordetella hinzii 1277" "Bordetella" "Betaproteobacteria" "Proteobacteria" "Bordetella hinzii 1277"
"ncbi" "Pantoea stewartii subsp. stewartii DC283" "Pantoea" "Gammaproteobacteria" "Proteobacteria" "Pantoea stewartii subsp. stewartii DC283"
"ncbi" "Phenylobacterium sp. SCN 70-31" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. SCN 70-31"
"ncbi" "Polaromonas sp. JS666" "Polaromonas" "Betaproteobacteria" "Proteobacteria" "Polaromonas sp. JS666"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium 69-11"
"ncbi" "Sinorhizobium sp. GL2" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria" "Sinorhizobium sp. GL2"
"ncbi" "Rhodopseudomonas palustris" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas palustris"
"ncbi" "Roseomonas rosea" "Roseomonas" "Alphaproteobacteria" "Proteobacteria" "Roseomonas rosea"
"ncbi" "Mesorhizobium alhagi CCNWXJ12-2" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium alhagi CCNWXJ12-2"
"ncbi" "Xanthobacter autotrophicus Py2" "Xanthobacter" "Alphaproteobacteria" "Proteobacteria" "Xanthobacter autotrophicus Py2"
"ncbi" "Pseudorhodoferax sp. Leaf265" "Pseudorhodoferax" "Betaproteobacteria" "Proteobacteria" "Pseudorhodoferax sp. Leaf265"
"ncbi" "Burkholderia fungorum" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia fungorum"
"ncbi" "Bordetella holmesii ATCC 51541" "Bordetella" "Betaproteobacteria" "Proteobacteria" "Bordetella holmesii ATCC 51541"
"ncbi" "Bradyrhizobium sp. cf659" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. cf659"
"ncbi" "Phenylobacterium sp. SCN 70-31" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. SCN 70-31"
"ncbi" "Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31"
"ncbi" "Paracoccus yeei" "Paracoccus" "Alphaproteobacteria" "Proteobacteria" "Paracoccus yeei"
"ncbi" "Comamonas thiooxydans" "Comamonas" "Betaproteobacteria" "Proteobacteria" "Comamonas thiooxydans"
"ncbi" "Gluconacetobacter rhaeticus AF1" "Komagataeibacter" "Alphaproteobacteria" "Proteobacteria" "Gluconacetobacter rhaeticus AF1"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12"
"ncbi" "Mesorhizobium sp. ORS3324" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium sp. ORS3324"
"ncbi" "Achromobacter xylosoxidans" "Achromobacter" "Betaproteobacteria" "Proteobacteria" "Achromobacter xylosoxidans"
"ncbi" "Sphingomonas sp. Root710" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Root710"
"ncbi" "Acetobacter malorum" "Acetobacter" "Alphaproteobacteria" "Proteobacteria" "Acetobacter malorum"
"ncbi" "Dyella japonica A8" "Dyella" "Gammaproteobacteria" "Proteobacteria" "Dyella japonica A8"
"ncbi" "Afipia broomeae ATCC 49717" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia broomeae ATCC 49717"
"ncbi" "Dyella jiangningensis" "Dyella" "Gammaproteobacteria" "Proteobacteria" "Dyella jiangningensis"
"ncbi" "Rhodopseudomonas palustris CGA009" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas palustris CGA009"
"ncbi" "Methylobacterium platani JCM 14648" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium platani JCM 14648"
"ncbi" "Pseudomonas punonensis" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas punonensis"
"ncbi" "Bordetella trematum" "Bordetella" "Betaproteobacteria" "Proteobacteria" "Bordetella trematum"
"ncbi" "Phenylobacterium sp. SCN 69-14" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. SCN 69-14"
"ncbi" "bacterium YEK0313" NA NA NA "bacterium YEK0313"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Rhodopseudomonas sp. AAP120" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas sp. AAP120"
"ncbi" "Rhodomicrobium udaipurense JA643" "Rhodomicrobium" "Alphaproteobacteria" "Proteobacteria" "Rhodomicrobium udaipurense JA643"
"ncbi" "Bradyrhizobium neotropicale" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium neotropicale"
"ncbi" "Sphingobium sp. C100" "Sphingobium" "Alphaproteobacteria" "Proteobacteria" "Sphingobium sp. C100"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Bradyrhizobium sp. S23321" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. S23321"
"ncbi" "Agrobacterium rhizogenes" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium rhizogenes"
"ncbi" "Bacillus sp. FJAT-27231" "Bacillus" "Bacilli" "Firmicutes" "Bacillus sp. FJAT-27231"
"ncbi" "Enterococcus faecium UC7256" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium UC7256"
"ncbi" "Geobacillus sp. JS12" "Geobacillus" "Bacilli" "Firmicutes" "Geobacillus sp. JS12"
"ncbi" "Geobacillus sp. Y4.1MC1" "Geobacillus" "Bacilli" "Firmicutes" "Geobacillus sp. Y4.1MC1"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Planctomyces sp. SH-PL62" "Planctomyces" "Planctomycetia" "Planctomycetes" "Planctomyces sp. SH-PL62"
"ncbi" "Desulfurivibrio alkaliphilus AHT2" "Desulfurivibrio" "Deltaproteobacteria" "Proteobacteria" "Desulfurivibrio alkaliphilus AHT2"
"ncbi" "Alkalilimnicola ehrlichii MLHE-1" "Alkalilimnicola" "Gammaproteobacteria" "Proteobacteria" "Alkalilimnicola ehrlichii MLHE-1"
"ncbi" "Sorangium cellulosum So0157-2" "Sorangium" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum So0157-2"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Acidobacteria bacterium 13_1_40CM_4_58_4" NA NA "Acidobacteria" "Acidobacteria bacterium 13_1_40CM_4_58_4"
"ncbi" "Acidobacteria bacterium SCGC AG-212-P17" NA NA "Acidobacteria" "Acidobacteria bacterium SCGC AG-212-P17"
"ncbi" "Actinobacteria bacterium 13_1_20CM_2_66_18" NA NA "Actinobacteria" "Actinobacteria bacterium 13_1_20CM_2_66_18"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Ktedonobacter racemifer DSM 44963" "Ktedonobacter" "Ktedonobacteria" "Chloroflexi" "Ktedonobacter racemifer DSM 44963"
"ncbi" "Chondromyces apiculatus DSM 436" "Chondromyces" "Deltaproteobacteria" "Proteobacteria" "Chondromyces apiculatus DSM 436"
"ncbi" "Bradyrhizobium manausense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium manausense"
"ncbi" "Burkholderia sp. CCGE1001" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. CCGE1001"
"ncbi" "Rhodopseudomonas palustris BisB18" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas palustris BisB18"
"ncbi" "Asanoa ferruginea" "Asanoa" "Actinobacteria" "Actinobacteria" "Asanoa ferruginea"
"ncbi" "Geobacter lovleyi SZ" "Geobacter" "Deltaproteobacteria" "Proteobacteria" "Geobacter lovleyi SZ"
"ncbi" "Collimonas fungivorans Ter331" "Collimonas" "Betaproteobacteria" "Proteobacteria" "Collimonas fungivorans Ter331"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Bradyrhizobium japonicum" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium japonicum"
"ncbi" "Bradyrhizobium lablabi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium lablabi"
"ncbi" "Pseudomonas citronellolis" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas citronellolis"
"ncbi" "Methylocella silvestris BL2" "Methylocella" "Alphaproteobacteria" "Proteobacteria" "Methylocella silvestris BL2"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Archangium gephyra" "Archangium" "Deltaproteobacteria" "Proteobacteria" "Archangium gephyra"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Dyella japonica A8" "Dyella" "Gammaproteobacteria" "Proteobacteria" "Dyella japonica A8"
"ncbi" "Candidatus Solibacter usitatus Ellin6076" "Candidatus Solibacter" "Solibacteres" "Acidobacteria" "Candidatus Solibacter usitatus Ellin6076"
"ncbi" "Burkholderia stagnalis" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia stagnalis"
"ncbi" "Devosia geojensis" "Devosia" "Alphaproteobacteria" "Proteobacteria" "Devosia geojensis"
"ncbi" "Candidatus Accumulibacter sp. SK-01" "Candidatus Accumulibacter" "Betaproteobacteria" "Proteobacteria" "Candidatus Accumulibacter sp. SK-01"
"ncbi" "Opitutaceae bacterium TAV5" NA "Opitutae" "Verrucomicrobia" "Opitutaceae bacterium TAV5"
"ncbi" "Thiobacillus denitrificans ATCC 25259" "Thiobacillus" "Betaproteobacteria" "Proteobacteria" "Thiobacillus denitrificans ATCC 25259"
"ncbi" "Candidatus Nitrospira nitrificans" "Nitrospira" "Nitrospira" "Nitrospirae" "Candidatus Nitrospira nitrificans"
"ncbi" "Methylobacillus flagellatus KT" "Methylobacillus" "Betaproteobacteria" "Proteobacteria" "Methylobacillus flagellatus KT"
"ncbi" "Acidihalobacter prosperus" "Acidihalobacter" "Gammaproteobacteria" "Proteobacteria" "Acidihalobacter prosperus"
"ncbi" "Thioalkalivibrio sulfidophilus HL-EbGr7" "Thioalkalivibrio" "Gammaproteobacteria" "Proteobacteria" "Thioalkalivibrio sulfidophilus HL-EbGr7"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Brevibacillus laterosporus" "Brevibacillus" "Bacilli" "Firmicutes" "Brevibacillus laterosporus"
"ncbi" "Paenibacillus thiaminolyticus" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus thiaminolyticus"
"ncbi" "Paenibacillus thiaminolyticus" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus thiaminolyticus"
"ncbi" "Paenibacillus jilunlii" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus jilunlii"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Clostridium sp. MLG480" "Clostridium" "Clostridia" "Firmicutes" "Clostridium sp. MLG480"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Clostridium sp. MLG856-1" "Clostridium" "Clostridia" "Firmicutes" "Clostridium sp. MLG856-1"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Enterococcus faecium" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium"
"ncbi" "Paenibacillus popilliae" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus popilliae"
"ncbi" "Streptomyces sp. WAC1420" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces sp. WAC1420"
"ncbi" "Actinoplanes sp. ATCC 53533" "Actinoplanes" "Actinobacteria" "Actinobacteria" "Actinoplanes sp. ATCC 53533"
"ncbi" "Kibdelosporangium sp. MJ126-NF4" "Kibdelosporangium" "Actinobacteria" "Actinobacteria" "Kibdelosporangium sp. MJ126-NF4"
"ncbi" "Ktedonobacter racemifer DSM 44963" "Ktedonobacter" "Ktedonobacteria" "Chloroflexi" "Ktedonobacter racemifer DSM 44963"
"ncbi" "Oxobacter pfennigii" "Oxobacter" "Clostridia" "Firmicutes" "Oxobacter pfennigii"
"ncbi" "Streptomyces sp. WAC1420" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces sp. WAC1420"
"ncbi" "Desulfitobacterium hafniense DCB-2" "Desulfitobacterium" "Clostridia" "Firmicutes" "Desulfitobacterium hafniense DCB-2"
"ncbi" "Frankia sp. EAN1pec" "Frankia" "Actinobacteria" "Actinobacteria" "Frankia sp. EAN1pec"
"ncbi" "Kibdelosporangium sp. MJ126-NF4" "Kibdelosporangium" "Actinobacteria" "Actinobacteria" "Kibdelosporangium sp. MJ126-NF4"
"ncbi" "Streptomyces toyocaensis" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces toyocaensis"
"ncbi" "Nocardia brasiliensis NBRC 14402" "Nocardia" "Actinobacteria" "Actinobacteria" "Nocardia brasiliensis NBRC 14402"
"ncbi" "Paenibacillus popilliae" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus popilliae"
"ncbi" "Saccharothrix espanaensis DSM 44229" "Saccharothrix" "Actinobacteria" "Actinobacteria" "Saccharothrix espanaensis DSM 44229"
"ncbi" "uncultured organism CA878" NA NA NA "uncultured organism CA878"
"ncbi" "Mycobacterium immunogenum" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium immunogenum"
"ncbi" "Actinokineospora sp. EG49" "Actinokineospora" "Actinobacteria" "Actinobacteria" "Actinokineospora sp. EG49"
"ncbi" "Talaromyces marneffei PM1" "Talaromyces" "Eurotiomycetes" "Ascomycota" "Talaromyces marneffei PM1"
