LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
S71932.1.gene1.p01, Serratia_marcescens (S71932.1.gene1.p01)
gi|30172961|sp|Q9KJA8.1|BLAB7_ELIME, Precursor (gi|30172961|sp|Q9KJA8.1|BLAB7_ELIME)
gi|33772770|gb|AAQ54754.1|, Elizabethkingia_meningoseptica (gi|33772770|gb|AAQ54754.1|)
gi|30172978|sp|Q9XBN7.1|BLAB4_ELIME, Precursor (gi|30172978|sp|Q9XBN7.1|BLAB4_ELIME)
gi|327405594|ref|YP_004346432.1|, Fluviicola_taffensis_DSM_16823 (gi|327405594|ref|YP_004346432.1|)
gi|183220375|ref|YP_001838371.1|, Leptospira_biflexa_serovar_Patoc_strain_'Patoc_1_(Paris)' (gi|183220375|ref|YP_001838371.1|)
gi|50956654|gb|AAT90846.1|, Shewanella_livingstonensis (gi|50956654|gb|AAT90846.1|)
gi|50956656|gb|AAT90847.1|, Shewanella_frigidimarina (gi|50956656|gb|AAT90847.1|)
gi|284038141|ref|YP_003388071.1|, Spirosoma_linguale_DSM_74 (gi|284038141|ref|YP_003388071.1|)
gi|163941072|ref|YP_001645956.1|, Bacillus_weihenstephanensis_KBAB4 (gi|163941072|ref|YP_001645956.1|)
gi|487971367|ref|WP_002044277.1|, Bacillus_cereus (gi|487971367|ref|WP_002044277.1|)
gi|318066561|emb|CBY88906.1|, Achromobacter_sp._sallbros1 (gi|318066561|emb|CBY88906.1|)
gi|487954675|ref|WP_002028125.1|, Bacillus_cereus (gi|487954675|ref|WP_002028125.1|)
gi|489364239|ref|WP_003271111.1|, Bacillus_thuringiensis (gi|489364239|ref|WP_003271111.1|)
gi|115023|sp|P10425.1|BLA2_BAC17, Precursor (gi|115023|sp|P10425.1|BLA2_BAC17)
gi|487924466|ref|WP_001997932.1|, Bacillus_cereus (gi|487924466|ref|WP_001997932.1|)
gi|489378205|ref|WP_003284918.1|, Bacillus_thuringiensis (gi|489378205|ref|WP_003284918.1|)
gi|487895758|ref|WP_001969224.1|, Bacillus_cereus (gi|487895758|ref|WP_001969224.1|)
gi|218233803|ref|YP_002368151.1|, Bacillus_cereus_B4264 (gi|218233803|ref|YP_002368151.1|)
gi|487968538|ref|WP_002041564.1|, Bacillus_cereus (gi|487968538|ref|WP_002041564.1|)
gi|446665128|ref|WP_000742474.1|, Bacillus_cereus (gi|446665128|ref|WP_000742474.1|)
gi|487940646|ref|WP_002014112.1|, Bacillus_cereus (gi|487940646|ref|WP_002014112.1|)
gi|384181262|ref|YP_005567024.1|, Bacillus_thuringiensis_serovar_finitimus_YBT-020 (gi|384181262|ref|YP_005567024.1|)
gi|487989584|ref|WP_002061896.1|, Bacillus_cereus (gi|487989584|ref|WP_002061896.1|)
gi|488125547|ref|WP_002196755.1|, Bacillus_cereus (gi|488125547|ref|WP_002196755.1|)
gi|487932022|ref|WP_002005488.1|, Bacillus_cereus (gi|487932022|ref|WP_002005488.1|)
gi|446665126|ref|WP_000742472.1|, Bacillus_cereus (gi|446665126|ref|WP_000742472.1|)
gi|489360244|ref|WP_003267184.1|, Bacillus_thuringiensis (gi|489360244|ref|WP_003267184.1|)
gi|487948475|ref|WP_002021941.1|, Bacillus_cereus (gi|487948475|ref|WP_002021941.1|)
gi|487960042|ref|WP_002033393.1|, Bacillus_cereus (gi|487960042|ref|WP_002033393.1|)
gi|487953200|ref|WP_002026666.1|, Bacillus_cereus (gi|487953200|ref|WP_002026666.1|)
gi|490541217|ref|WP_004406345.1|, Bacillus_thuringiensis (gi|490541217|ref|WP_004406345.1|)
gi|296503952|ref|YP_003665652.1|, Bacillus_thuringiensis_BMB171 (gi|296503952|ref|YP_003665652.1|)
gi|489401160|ref|WP_003307552.1|, Bacillus_thuringiensis (gi|489401160|ref|WP_003307552.1|)
gi|489398831|ref|WP_003305280.1|, Bacillus_thuringiensis (gi|489398831|ref|WP_003305280.1|)
gi|254787638|ref|YP_003075067.1|, Teredinibacter_turnerae_T7901 (gi|254787638|ref|YP_003075067.1|)
gi|225865413|ref|YP_002750791.1|, Bacillus_cereus_03BB102 (gi|225865413|ref|YP_002750791.1|)
gi|487929748|ref|WP_002003214.1|, Bacillus_cereus (gi|487929748|ref|WP_002003214.1|)
gi|487994324|ref|WP_002066401.1|, Bacillus_cereus (gi|487994324|ref|WP_002066401.1|)
gi|42782505|ref|NP_979752.1|, Bacillus_cereus_ATCC_10987 (gi|42782505|ref|NP_979752.1|)
gi|488126821|ref|WP_002198029.1|, Bacillus_cereus (gi|488126821|ref|WP_002198029.1|)
gi|49478233|ref|YP_037541.1|, Bacillus_thuringiensis_serovar_konkukian_str._97-27 (gi|49478233|ref|YP_037541.1|)
gi|149243928|pdb|2UYX|A, D120s (gi|149243928|pdb|2UYX|A)
gi|487965950|ref|WP_002039071.1|, Bacillus_cereus_group (gi|487965950|ref|WP_002039071.1|)
gi|487984362|ref|WP_002056912.1|, Bacillus_cereus (gi|487984362|ref|WP_002056912.1|)
gi|301054940|ref|YP_003793151.1|, Bacillus_cereus_biovar_anthracis_str._CI (gi|301054940|ref|YP_003793151.1|)
gi|487963524|ref|WP_002036769.1|, Bacillus_cereus (gi|487963524|ref|WP_002036769.1|)
gi|488005005|ref|WP_002076688.1|, Bacillus_cereus (gi|488005005|ref|WP_002076688.1|)
gi|488000737|ref|WP_002072585.1|, Bacillus_cereus (gi|488000737|ref|WP_002072585.1|)
gi|114562065|ref|YP_749578.1|, Shewanella_frigidimarina_NCIMB_400 (gi|114562065|ref|YP_749578.1|)
gi|493019485|ref|WP_006095170.1|, Bacillus_pseudomycoides (gi|493019485|ref|WP_006095170.1|)
gi|62738929|pdb|2BFK|A, Agent (gi|62738929|pdb|2BFK|A)
gi|118478708|ref|YP_895859.1|, Bacillus_thuringiensis_str._Al_Hakam (gi|118478708|ref|YP_895859.1|)
gi|489382202|ref|WP_003288876.1|, Bacillus_thuringiensis (gi|489382202|ref|WP_003288876.1|)
gi|489290804|ref|WP_003198347.1|, Bacillus_mycoides (gi|489290804|ref|WP_003198347.1|)
gi|487934708|ref|WP_002008174.1|, Bacillus_cereus (gi|487934708|ref|WP_002008174.1|)
gi|30021543|ref|NP_833174.1|, Bacillus_cereus_ATCC_14579 (gi|30021543|ref|NP_833174.1|)
gi|10120734|pdb|1DXK|A, Mutant (gi|10120734|pdb|1DXK|A)
gi|489388126|ref|WP_003294720.1|, Bacillus_thuringiensis (gi|489388126|ref|WP_003294720.1|)
gi|38427157|gb|AAR20596.1|, Bacillus_anthracis (gi|38427157|gb|AAR20596.1|)
gi|487915841|ref|WP_001989307.1|, Bacillus_cereus (gi|487915841|ref|WP_001989307.1|)
gi|4930171|pdb|2BC2|A, Form (gi|4930171|pdb|2BC2|A)
gi|217035509|pdb|3FCZ|A, Flexibility (gi|217035509|pdb|3FCZ|A)
gi|386737203|ref|YP_006210384.1|, Bacillus_anthracis_str._H9401 (gi|386737203|ref|YP_006210384.1|)
gi|487981383|ref|WP_002054092.1|, Bacillus_cereus (gi|487981383|ref|WP_002054092.1|)
gi|312597275|pdb|3KNR|A, Zn(ii) (gi|312597275|pdb|3KNR|A)
gi|489391452|ref|WP_003297999.1|, Bacillus_thuringiensis (gi|489391452|ref|WP_003297999.1|)
gi|149242522|pdb|2NZE|A, P3121. (gi|149242522|pdb|2NZE|A)
gi|149242517|pdb|2NXA|A, Mutant (gi|149242517|pdb|2NXA|A)
gi|62738933|pdb|2BFZ|A, Oxidized. (gi|62738933|pdb|2BFZ|A)
gi|157376546|ref|YP_001475146.1|, Shewanella_sediminis_HAW-EB3 (gi|157376546|ref|YP_001475146.1|)
gi|22091072|dbj|BAC06849.1|, Bacteroides_fragilis (gi|22091072|dbj|BAC06849.1|)
gi|425702613|ref|YP_007008162.1|, Bacteroides_fragilis (gi|425702613|ref|YP_007008162.1|)
gi|492224699|ref|WP_005780969.1|, Bacteroides_fragilis (gi|492224699|ref|WP_005780969.1|)
gi|22091074|dbj|BAC06850.1|, Bacteroides_fragilis (gi|22091074|dbj|BAC06850.1|)
gi|384163659|ref|YP_005545038.1|, Bacillus_amyloliquefaciens_LL3 (gi|384163659|ref|YP_005545038.1|)
gi|308173150|ref|YP_003919855.1|, Bacillus_amyloliquefaciens_DSM_7 (gi|308173150|ref|YP_003919855.1|)
gi|37812494|gb|AAR04097.1|, Bacteroides_fragilis (gi|37812494|gb|AAR04097.1|)
gi|22091060|dbj|BAC06843.1|, Bacteroides_fragilis (gi|22091060|dbj|BAC06843.1|)
gi|492364765|ref|WP_005821510.1|, Bacteroides_fragilis (gi|492364765|ref|WP_005821510.1|)
gi|91792183|ref|YP_561834.1|, Shewanella_denitrificans_OS217 (gi|91792183|ref|YP_561834.1|)
gi|284449413|pdb|3I0V|A, Form (gi|284449413|pdb|3I0V|A)
gi|493271794|ref|WP_006229611.1|, Photobacterium_profundum (gi|493271794|ref|WP_006229611.1|)
gi|284449414|pdb|3I14|A, Oxidized (gi|284449414|pdb|3I14|A)
gi|489103658|ref|WP_003013519.1|, Sphingobacterium_spiritivorum (gi|489103658|ref|WP_003013519.1|)
gi|154685620|ref|YP_001420781.1|, Bacillus_amyloliquefaciens_subsp._plantarum_str._FZB42 (gi|154685620|ref|YP_001420781.1|)
gi|170727928|ref|YP_001761954.1|, Shewanella_woodyi_ATCC_51908 (gi|170727928|ref|YP_001761954.1|)
gi|495957270|ref|WP_008681849.1|, Desulfovibrio_sp._3_1_syn3 (gi|495957270|ref|WP_008681849.1|)
gi|310818318|ref|YP_003950676.1|, Stigmatella_aurantiaca_DW4/3-1 (gi|310818318|ref|YP_003950676.1|)
gi|488689867|ref|WP_002614052.1|, Stigmatella_aurantiaca (gi|488689867|ref|WP_002614052.1|)
gi|197334445|ref|YP_002155877.1|, Vibrio_fischeri_MJ11 (gi|197334445|ref|YP_002155877.1|)
gi|37222174|gb|AAP70377.1|, uncultured_bacterium (gi|37222174|gb|AAP70377.1|)
gi|313203237|ref|YP_004041894.1|, Paludibacter_propionicigenes_WB4 (gi|313203237|ref|YP_004041894.1|)
gi|3318914|pdb|1A7T|A, Mes (gi|3318914|pdb|1A7T|A)
gi|209694759|ref|YP_002262687.1|, Aliivibrio_salmonicida_LFI1238 (gi|209694759|ref|YP_002262687.1|)
gi|256260267|gb|ACU65239.1|, synthetic_construct (gi|256260267|gb|ACU65239.1|)
gi|256260265|gb|ACU65238.1|, synthetic_construct (gi|256260265|gb|ACU65238.1|)
gi|10566737|dbj|BAB15941.1|, Serratia_marcescens (gi|10566737|dbj|BAB15941.1|)
gi|5542575|pdb|4ZNB|A, Mutant) (gi|5542575|pdb|4ZNB|A)
gi|4760643|dbj|BAA77393.1|, Shigella_flexneri (gi|4760643|dbj|BAA77393.1|)
gi|256260263|gb|ACU65237.1|, synthetic_construct (gi|256260263|gb|ACU65237.1|)
gi|119774315|ref|YP_927055.1|, Shewanella_amazonensis_SB2B (gi|119774315|ref|YP_927055.1|)
gi|326800637|ref|YP_004318456.1|, Sphingobacterium_sp._21 (gi|326800637|ref|YP_004318456.1|)
gi|256260271|gb|ACU65241.1|, synthetic_construct (gi|256260271|gb|ACU65241.1|)
gi|256260273|gb|ACU65242.1|, synthetic_construct (gi|256260273|gb|ACU65242.1|)
gi|256260269|gb|ACU65240.1|, synthetic_construct (gi|256260269|gb|ACU65240.1|)
gi|490258969|ref|WP_004156189.1|, Microscilla_marina (gi|490258969|ref|WP_004156189.1|)
gi|90101507|gb|ABD85195.1|, Citrobacter_freundii (gi|90101507|gb|ABD85195.1|)
gi|256260261|gb|ACU65236.1|, synthetic_construct (gi|256260261|gb|ACU65236.1|)
gi|110350569|emb|CAK55562.1|, Acinetobacter_baumannii (gi|110350569|emb|CAK55562.1|)
gi|256692865|gb|ACV13198.1|, Pseudomonas_aeruginosa (gi|256692865|gb|ACV13198.1|)
gi|295002614|gb|ADF59066.1|, Stenotrophomonas_maltophilia (gi|295002614|gb|ADF59066.1|)
gi|87158436|emb|CAJ65586.1|, Enterobacter_cloacae (gi|87158436|emb|CAJ65586.1|)
gi|62738315|pdb|1WUP|A, (D81e) (gi|62738315|pdb|1WUP|A)
gi|164520917|gb|ABY60377.1|, Pseudomonas_aeruginosa (gi|164520917|gb|ABY60377.1|)
gi|118138665|gb|ABK63186.1|, Pseudomonas_aeruginosa (gi|118138665|gb|ABK63186.1|)
gi|159146554|gb|ABW90721.1|, Pseudomonas_aeruginosa (gi|159146554|gb|ABW90721.1|)
gi|266706203|gb|ACY78406.1|, Pseudomonas_aeruginosa (gi|266706203|gb|ACY78406.1|)
gi|190402600|gb|ACE77794.1|, Pseudomonas_aeruginosa (gi|190402600|gb|ACE77794.1|)
gi|126571829|gb|ABO21416.1|, Pseudomonas_aeruginosa (gi|126571829|gb|ABO21416.1|)
gi|37620071|emb|CAE51025.1|, Pseudomonas_aeruginosa (gi|37620071|emb|CAE51025.1|)
gi|495474540|ref|WP_008199227.1|, Algoriphagus_machipongonensis (gi|495474540|ref|WP_008199227.1|)
gi|497565232|ref|WP_009879416.1|, Bacillus_anthracis (gi|497565232|ref|WP_009879416.1|)
gi|217038357|gb|ACJ76644.1|, Klebsiella_pneumoniae (gi|217038357|gb|ACJ76644.1|)
gi|390946537|ref|YP_006410297.1|, Alistipes_finegoldii_DSM_17242 (gi|390946537|ref|YP_006410297.1|)
gi|222353665|emb|CAU08343.1|, Pseudomonas_aeruginosa (gi|222353665|emb|CAU08343.1|)
gi|40644311|emb|CAD55935.1|, Pseudomonas_aeruginosa (gi|40644311|emb|CAD55935.1|)
gi|255035162|ref|YP_003085783.1|, Dyadobacter_fermentans_DSM_18053 (gi|255035162|ref|YP_003085783.1|)
gi|489093064|ref|WP_003002951.1|, Sphingobacterium_spiritivorum (gi|489093064|ref|WP_003002951.1|)
gi|91794502|ref|YP_564153.1|, Shewanella_denitrificans_OS217 (gi|91794502|ref|YP_564153.1|)
gi|62738311|pdb|1WUO|A, (d81a) (gi|62738311|pdb|1WUO|A)
gi|489395640|ref|WP_003302143.1|, Bacillus_thuringiensis (gi|489395640|ref|WP_003302143.1|)
gi|218898499|ref|YP_002446910.1|, Bacillus_cereus_G9842 (gi|218898499|ref|YP_002446910.1|)
gi|254966891|gb|ACT97467.1|, uncultured_organism (gi|254966891|gb|ACT97467.1|)
gi|305665005|ref|YP_003861292.1|, Maribacter_sp._HTCC2170 (gi|305665005|ref|YP_003861292.1|)
gi|311068323|ref|YP_003973246.1|, Bacillus_atrophaeus_1942 (gi|311068323|ref|YP_003973246.1|)
gi|108757789|ref|YP_628702.1|, Myxococcus_xanthus_DK_1622 (gi|108757789|ref|YP_628702.1|)
gi|253987478|gb|ACT52235.1|, Pseudomonas_aeruginosa (gi|253987478|gb|ACT52235.1|)
gi|52142087|ref|YP_084742.1|, Bacillus_cereus_E33L (gi|52142087|ref|YP_084742.1|)
gi|88193010|pdb|2FHX|A, Metallo-Beta-Lactamase (gi|88193010|pdb|2FHX|A)
gi|83267851|gb|ABB99430.1|, Pseudomonas_aeruginosa (gi|83267851|gb|ABB99430.1|)
gi|238908266|emb|CAQ87575.1|, Bacteroides_fragilis (gi|238908266|emb|CAQ87575.1|)
gi|262199303|ref|YP_003270512.1|, Haliangium_ochraceum_DSM_14365 (gi|262199303|ref|YP_003270512.1|)
gi|85816742|gb|EAQ37928.1|, Dokdonia_donghaensis_MED134 (gi|85816742|gb|EAQ37928.1|)
gi|66394586|gb|AAY46154.1|, Pseudomonas_aeruginosa (gi|66394586|gb|AAY46154.1|)
gi|159797910|gb|ABX00642.1|, Pseudomonas_aeruginosa (gi|159797910|gb|ABX00642.1|)
gi|85374343|ref|YP_458405.1|, Erythrobacter_litoralis_HTCC2594 (gi|85374343|ref|YP_458405.1|)
gi|254295417|ref|YP_003061440.1|, Hirschia_baltica_ATCC_49814 (gi|254295417|ref|YP_003061440.1|)
gi|302826880|gb|ADL70857.1|, Klebsiella_pneumoniae (gi|302826880|gb|ADL70857.1|)
gi|14625802|gb|AAK71511.1|, Bacteroides_fragilis (gi|14625802|gb|AAK71511.1|)
gi|253987474|gb|ACT52233.1|, Pseudomonas_aeruginosa (gi|253987474|gb|ACT52233.1|)
gi|313660956|emb|CBX26624.1|, Pseudomonas_aeruginosa (gi|313660956|emb|CBX26624.1|)
gi|313660958|emb|CBX26625.1|, Pseudomonas_aeruginosa (gi|313660958|emb|CBX26625.1|)
gi|313660954|emb|CBX26623.1|, Pseudomonas_aeruginosa (gi|313660954|emb|CBX26623.1|)
gi|313660952|emb|CBX26622.1|, Pseudomonas_aeruginosa (gi|313660952|emb|CBX26622.1|)
gi|489282992|ref|WP_003190608.1|, Bacillus_mycoides (gi|489282992|ref|WP_003190608.1|)
gi|208342325|gb|ACI25600.1|, Pseudomonas_aeruginosa (gi|208342325|gb|ACI25600.1|)
gi|2292739|emb|CAA71441.1|, Aeromonas_veronii (gi|2292739|emb|CAA71441.1|)
gi|6456729|gb|AAF09244.1|AF197943_1, Serratia_fonticola (gi|6456729|gb|AAF09244.1|AF197943_1)
gi|37359438|gb|AAP69915.1|, Aeromonas_jandaei (gi|37359438|gb|AAP69915.1|)
gi|117617449|ref|YP_855286.1|, Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966 (gi|117617449|ref|YP_855286.1|)
gi|33150462|gb|AAP97129.1|, Aeromonas_sobria (gi|33150462|gb|AAP97129.1|)
gi|58177262|pdb|1X8H|A, Coordination (gi|58177262|pdb|1X8H|A)
gi|21634398|gb|AAM63403.1|, Aeromonas_veronii_bv._Sobria (gi|21634398|gb|AAM63403.1|)
gi|37359432|gb|AAP69912.1|, Aeromonas_allosaccharophila (gi|37359432|gb|AAP69912.1|)
gi|145300480|ref|YP_001143321.1|, Aeromonas_salmonicida_subsp._salmonicida_A449 (gi|145300480|ref|YP_001143321.1|)
gi|33150468|gb|AAP97132.1|, Aeromonas_veronii_bv._veronii (gi|33150468|gb|AAP97132.1|)
gi|330828432|ref|YP_004391384.1|, Aeromonas_veronii_B565 (gi|330828432|ref|YP_004391384.1|)
gi|37359436|gb|AAP69914.1|, Aeromonas_veronii_bv._veronii (gi|37359436|gb|AAP69914.1|)
gi|491012457|ref|WP_004874166.1|, Yersinia_mollaretii (gi|491012457|ref|WP_004874166.1|)
