LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
AAM89398, Klebsiella_pneumoniae (AAM89398)
OGW49890.1, Nitrospirae_bacterium_RBG_19FT_COMBO_58_9 (OGW49890.1)
OHB89277.1, Planctomycetes_bacterium_RIFCSPHIGHO2_02_FULL_40_12 (OHB89277.1)
OIO54904.1, Proteobacteria_bacterium_CG1_02_64_396 (OIO54904.1)
OIO85441.1, Anaerolineae_bacterium_CG2_30_57_67 (OIO85441.1)
OIP37224.1, Desulfobacteraceae_bacterium_CG2_30_51_40 (OIP37224.1)
OIP37860.1, Desulfobacteraceae_bacterium_CG2_30_51_40 (OIP37860.1)
OIP66293.1, Nitrospirae_bacterium_CG2_30_53_67 (OIP66293.1)
OJW29975.1, Rhodanobacter_sp._67-28 (OJW29975.1)
OJY94950.1, Xanthomonadales_bacterium_63-13 (OJY94950.1)
OJZ16181.1, Thiobacillus_sp._63-78 (OJZ16181.1)
OJZ19799.1, Thiobacillus_sp._65-29 (OJZ19799.1)
OLA97340.1, Verrucomicrobia_bacterium_13_2_20CM_55_10 (OLA97340.1)
OLD20986.1, Acidobacteria_bacterium_13_1_40CM_3_65_5 (OLD20986.1)
OLD65040.1, Acidobacteria_bacterium_13_1_40CM_2_68_5 (OLD65040.1)
OLE48086.1, Candidatus_Rokubacteria_bacterium_13_1_20CM_2_69_58 (OLE48086.1)
OOG45951.1, Rhodanobacter_sp._C01 (OOG45951.1)
OOO00818.1, Chromatiales_bacterium_USCg_Taylor (OOO00818.1)
OPL14550.1, delta_proteobacterium_ML8_D (OPL14550.1)
OQX08395.1, Desulfobulbaceae_bacterium_A2 (OQX08395.1)
OQY84398.1, Chloroflexi_bacterium_UTCFX4 (OQY84398.1)
OQY97805.1, Chloroflexi_bacterium_UTCFX4 (OQY97805.1)
OQZ03034.1, Candidatus_Brocadia_sp._UTAMX1 (OQZ03034.1)
OYY32224.1, Halothiobacillus_sp._35-54-62 (OYY32224.1)
OYY50505.1, Methylophilales_bacterium_28-44-11 (OYY50505.1)
SBT03981.1, Candidatus_Propionivibrio_aalborgensis (SBT03981.1)
SDY95385.1, Nitrosomonas_halophila (SDY95385.1)
SEI40048.1, Frateuria_terrea (SEI40048.1)
SFF21926.1, Fontimonas_thermophila (SFF21926.1)
WP_004998506.1, Nitrococcus_mobilis (WP_004998506.1)
WP_006003230.1, Desulfuromonas_acetoxidans (WP_006003230.1)
WP_009513005.1, Opitutaceae_bacterium_TAV5 (WP_009513005.1)
WP_009769460.1, Oscillatoriales_cyanobacterium_JSC-12 (WP_009769460.1)
WP_011478777.1, Methylobacillus_flagellatus (WP_011478777.1)
WP_012639253.1, Thioalkalivibrio_sulfidiphilus (WP_012639253.1)
WP_013032328.1, Nitrosococcus_halophilus (WP_013032328.1)
WP_013219161.1, Nitrosococcus_watsonii (WP_013219161.1)
WP_014433399.1, Caldilinea_aerophila (WP_014433399.1)
WP_015144300.1, Pleurocapsa_minor (WP_015144300.1)
WP_015257945.1, Thioalkalivibrio_nitratireducens (WP_015257945.1)
WP_017305744.1, Spirulina_subsalsa (WP_017305744.1)
WP_019502191.1, Pseudanabaena_sp._PCC_6802 (WP_019502191.1)
WP_020475816.1, Zavarzinella_formosa (WP_020475816.1)
WP_022948126.1, Methylohalobius_crimeensis (WP_022948126.1)
WP_024296699.1, Methylosarcina_lacus (WP_024296699.1)
WP_026187743.1, Methyloversatilis_universalis (WP_026187743.1)
WP_027458328.1, Dechloromonas_agitata (WP_027458328.1)
WP_029215030.1, bacterium_JKG1 (WP_029215030.1)
WP_034430291.1, Candidatus_Contendobacter_odensis (WP_034430291.1)
WP_036251023.1, Methylobacter_sp._BBA5.1 (WP_036251023.1)
WP_036267722.1, Methylocaldum_szegediense (WP_036267722.1)
WP_036299459.1, Methylobacter_whittenburyi (WP_036299459.1)
WP_041069513.1, Thiolapillus_brandeum (WP_041069513.1)
WP_046319985.1, Arthrospira_sp._TJSD091 (WP_046319985.1)
WP_047533843.1, Methylotenera_sp._N17 (WP_047533843.1)
WP_056715857.1, Rhodanobacter_sp._Root179 (WP_056715857.1)
WP_066065439.1, Candidatus_Desulfofervidus_auxilii (WP_066065439.1)
WP_066102124.1, Halothiobacillus_sp._LS2 (WP_066102124.1)
WP_068141518.1, Limnochorda_pilosa (WP_068141518.1)
WP_071872440.1, Pseudomonas_hussainii (WP_071872440.1)
WP_072910151.1, Malonomonas_rubra (WP_072910151.1)
WP_073074127.1, Phormidesmis_priestleyi (WP_073074127.1)
WP_073548998.1, Chroogloeocystis_siderophila (WP_073548998.1)
WP_073601416.1, Hydrococcus_rivularis (WP_073601416.1)
WP_077439937.1, Rhodanobacter_sp._C01 (WP_077439937.1)
WP_077484697.1, Rhodanobacter_sp._C06 (WP_077484697.1)
WP_077786867.1, Gammaproteobacteria (WP_077786867.1)
WP_079851498.1, Acinetobacter_baumannii (WP_079851498.1)
WP_080809476.1, Halomicronema_hongdechloris (WP_080809476.1)
WP_082823598.1, Rhodanobacter (WP_082823598.1)
WP_083554440.1, Scytonema_tolypothrichoides (WP_083554440.1)
WP_083648527.1, Betaproteobacteria_bacterium_GR16-43 (WP_083648527.1)
WP_083688485.1, Luteimonas_tolerans (WP_083688485.1)
WP_085214132.1, Methylocaldum_sp._175 (WP_085214132.1)
WP_087448313.1, Sulfuriferula_sp._AH1 (WP_087448313.1)
WP_088258233.1, Fimbriiglobus_ruber (WP_088258233.1)
WP_088891164.1, Leptolyngbya_ohadii (WP_088891164.1)
WP_091529660.1, Fontimonas_thermophila (WP_091529660.1)
WP_091645391.1, Aquisalimonas_asiatica (WP_091645391.1)
