LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
U92041.1.gene1.p01, Escherichia_coli (U92041.1.gene1.p01)
JQ029959.1.gene1.p01, Klebsiella_pneumoniae (JQ029959.1.gene1.p01)
JX013655.1.gene1.p01, Klebsiella_pneumoniae (JX013655.1.gene1.p01)
HQ661362.1.gene1.p1, Klebsiella_pneumoniae (HQ661362.1.gene1.p1)
HQ661363.1.gene1.p1, Klebsiella_pneumoniae (HQ661363.1.gene1.p1)
JN051143.1.gene1.p01, Klebsiella_pneumoniae (JN051143.1.gene1.p01)
JQ388884.1.gene1.p1, Klebsiella_pneumoniae (JQ388884.1.gene1.p1)
DQ286729.1.gene1.p1, Escherichia_coli (DQ286729.1.gene1.p1)
FJ405211.1.gene1.p01, Escherichia_coli (FJ405211.1.gene1.p01)
Y13612.1.gene1.p01, Klebsiella_pneumoniae (Y13612.1.gene1.p01)
AF104442.1.gene1.p01, Escherichia_coli (AF104442.1.gene1.p01)
AF104441.1.gene1.p01, Klebsiella_pneumoniae (AF104441.1.gene1.p01)
DQ322460.1.gene1.p1, Klebsiella_pneumoniae (DQ322460.1.gene1.p1)
AM176552.2.gene1.p01, Klebsiella_pneumoniae (AM176552.2.gene1.p01)
AM176551.2.gene1.p01, Klebsiella_pneumoniae (AM176551.2.gene1.p01)
AM176554.2.gene1.p01, Klebsiella_pneumoniae (AM176554.2.gene1.p01)
AM176556.2.gene1.p01, Klebsiella_pneumoniae (AM176556.2.gene1.p01)
AM176555.2.gene1.p01, Klebsiella_pneumoniae (AM176555.2.gene1.p01)
AM176557.2.gene1.p01, Klebsiella_pneumoniae (AM176557.2.gene1.p01)
AJ746225.1.gene1.p01, Klebsiella_oxytoca (AJ746225.1.gene1.p01)
AJ866988.1.gene1.p01, Klebsiella_pneumoniae (AJ866988.1.gene1.p01)
AY436361.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (AY436361.1.gene1.p01)
AY491682.1.gene1.p1, Klebsiella_pneumoniae (AY491682.1.gene1.p1)
AY528425.1.gene1.p1, Klebsiella_pneumoniae (AY528425.1.gene1.p1)
AY574271.1.gene1.p01, Citrobacter_koseri (AY574271.1.gene1.p01)
AY956335.1.gene1.p1, Enterobacter_cloacae (AY956335.1.gene1.p1)
DQ075245.1.gene1.p01, Escherichia_coli (DQ075245.1.gene1.p01)
AM286274.1.gene1.p01, Shigella_sonnei (AM286274.1.gene1.p01)
AY826417.1.gene1.p01, Klebsiella_pneumoniae (AY826417.1.gene1.p01)
DQ072853.1.gene1.p01, Klebsiella_pneumoniae (DQ072853.1.gene1.p01)
AY853593.1.gene1.p1, Salmonella_enterica (AY853593.1.gene1.p1)
AY259119.1.gene1.p1, Klebsiella_pneumoniae (AY259119.1.gene1.p1)
AY123251.gene6.p01, Salmonella_enterica_subsp._enterica_serovar_Typhi (AY123251.gene6.p01)
S46063.1.gene1.p2, Pseudomonas_aeruginosa (S46063.1.gene1.p2)
AF135373.1.gene1.p01, Acinetobacter_calcoaceticus_subsp._anitratus (AF135373.1.gene1.p01)
AF030945.1.gene1.p01, Vibrio_cholerae (AF030945.1.gene1.p01)
AY178993.1.gene1.p01, Oligella_urethralis (AY178993.1.gene1.p01)
AF367983.gene.p01, Bacillus_anthracis (AF367983.gene.p01)
AF313471.1.gene2.p01, Pseudomonas_aeruginosa (AF313471.1.gene2.p01)
AY008290.1.gene1.p1, Pseudomonas_aeruginosa (AY008290.1.gene1.p1)
AB126603.gene.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (AB126603.gene.p01)
DQ834729.1.gene1.p1, Escherichia_coli (DQ834729.1.gene1.p1)
DQ834728.1.gene1.p1, Escherichia_coli (DQ834728.1.gene1.p1)
X65253.1.gene1.p01, Klebsiella_pneumoniae (X65253.1.gene1.p01)
Y17581.1.gene1.p01, Klebsiella_pneumoniae (Y17581.1.gene1.p01)
Y17583.1.gene1.p01, Klebsiella_pneumoniae (Y17583.1.gene1.p01)
Y17582.1.gene1.p01, Klebsiella_pneumoniae (Y17582.1.gene1.p01)
Y17584.1.gene1.p01, Escherichia_coli (Y17584.1.gene1.p01)
U37195.1.gene1.p1, Escherichia_coli (U37195.1.gene1.p1)
JN254627.1.gene1.p01, Escherichia_coli (JN254627.1.gene1.p01)
JN211012.1.gene1.p01, Salmonella_enterica (JN211012.1.gene1.p01)
GU550123.1.gene1.p1, Escherichia_coli (GU550123.1.gene1.p1)
FN652295.1.gene1.p01, Proteus_mirabilis (FN652295.1.gene1.p01)
HQ529916.1.gene1.p01, Klebsiella_pneumoniae (HQ529916.1.gene1.p01)
JN227084.1.gene1.p01, Escherichia_coli (JN227084.1.gene1.p01)
AY101578.1.gene1.p01, Escherichia_coli (AY101578.1.gene1.p01)
AF516720.1.gene1.p1, Escherichia_coli (AF516720.1.gene1.p1)
JF812965.1.gene1.p01, Escherichia_coli (JF812965.1.gene1.p01)
AJ318094.1.gene1.p01, Escherichia_coli (AJ318094.1.gene1.p01)
AB023477.1.gene1.p01, Escherichia_coli (AB023477.1.gene1.p01)
AY092401.1.gene1.p1, Escherichia_coli (AY092401.1.gene1.p1)
AJ308558.1.gene1.p01, Escherichia_coli (AJ308558.1.gene1.p01)
AF495873.1.gene1.p1, Escherichia_coli (AF495873.1.gene1.p1)
AF516719.1.gene1.p1, Klebsiella_pneumoniae (AF516719.1.gene1.p1)
AF326355.1.gene1.p01, Pseudomonas_aeruginosa (AF326355.1.gene1.p01)
AY494718.1.gene1.p01, Klebsiella_pneumoniae (AY494718.1.gene1.p01)
AY494717.1.gene1.p01, Escherichia_coli (AY494717.1.gene1.p01)
FJ820124.1.gene2.p1, uncultured_bacterium (FJ820124.1.gene2.p1)
FN554543.1.gene1.p01, Acinetobacter_baumannii (FN554543.1.gene1.p01)
FJ854362.1.gene2.p01, Acinetobacter_baumannii (FJ854362.1.gene2.p01)
GU208678.1.gene1.p01, Pseudomonas_aeruginosa (GU208678.1.gene1.p01)
GU207844.1.gene1.p01, Acinetobacter_baumannii (GU207844.1.gene1.p01)
GU169702.1.gene2.p01, Pseudomonas_aeruginosa (GU169702.1.gene2.p01)
HQ874631.1.gene1.p1, Escherichia_coli (HQ874631.1.gene1.p1)
AM176553.2.gene1.p01, Klebsiella_pneumoniae (AM176553.2.gene1.p01)
AM176558.2.gene1.p01, Klebsiella_pneumoniae (AM176558.2.gene1.p01)
AY368237.1.gene1.p1, Escherichia_coli (AY368237.1.gene1.p1)
AY101764.1.gene1.p01, Klebsiella_pneumoniae (AY101764.1.gene1.p01)
AF188199.1.gene1.p01, Escherichia_coli (AF188199.1.gene1.p01)
AF203816.1.gene1.p01, Klebsiella_pneumoniae (AF203816.1.gene1.p01)
AF091113.2.gene1.p01, Proteus_mirabilis (AF091113.2.gene1.p01)
AJ239002.1.gene1.p01, Klebsiella_pneumoniae (AJ239002.1.gene1.p01)
AF157553.1.gene1.p1, Morganella_morganii (AF157553.1.gene1.p1)
AF293345.1.gene1.p01, Klebsiella_pneumoniae (AF293345.1.gene1.p01)
AF227204.1.gene1.p01, Klebsiella_pneumoniae (AF227204.1.gene1.p01)
AF301532.1.gene1.p01, Klebsiella_pneumoniae (AF301532.1.gene1.p01)
AF299299.1.gene1.p01, Klebsiella_pneumoniae (AF299299.1.gene1.p01)
AM176549.2.gene1.p01, Klebsiella_pneumoniae (AM176549.2.gene1.p01)
AM176550.2.gene1.p01, Klebsiella_pneumoniae (AM176550.2.gene1.p01)
AM176547.2.gene1.p01, Klebsiella_pneumoniae (AM176547.2.gene1.p01)
AM176548.2.gene1.p01, Klebsiella_pneumoniae (AM176548.2.gene1.p01)
DQ013287.1.gene1.p1, Enterobacter_cloacae (DQ013287.1.gene1.p1)
AM176546.2.gene1.p01, Klebsiella_pneumoniae (AM176546.2.gene1.p01)
AY277255.2.gene1.p01, Klebsiella_pneumoniae (AY277255.2.gene1.p01)
DQ174308.1.gene1.p01, Klebsiella_pneumoniae (DQ174308.1.gene1.p01)
DQ174305.1.gene1.p01, Klebsiella_pneumoniae (DQ174305.1.gene1.p01)
DQ174306.1.gene1.p01, Klebsiella_pneumoniae (DQ174306.1.gene1.p01)
DQ174307.1.gene1.p01, Klebsiella_pneumoniae (DQ174307.1.gene1.p01)
AF190692.1.gene1.p01, Escherichia_coli (AF190692.1.gene1.p01)
DQ105528.2.gene1.p01, Escherichia_coli (DQ105528.2.gene1.p01)
DQ105529.2.gene1.p01, Escherichia_coli (DQ105529.2.gene1.p01)
HQ877615.1.gene1.p01, Klebsiella_pneumoniae (HQ877615.1.gene1.p01)
EU418913.1.gene1.p01, Klebsiella_pneumoniae (EU418913.1.gene1.p01)
DQ369751.1.gene1.p01, Enterobacter_aerogenes (DQ369751.1.gene1.p01)
AM183304.1.gene1.p01, Escherichia_coli (AM183304.1.gene1.p01)
DQ279850.1.gene1.p1, Pseudomonas_aeruginosa (DQ279850.1.gene1.p1)
EU274581.1.gene1.p1, Klebsiella_pneumoniae (EU274581.1.gene1.p1)
EU032604.1.gene1.p01, Klebsiella_pneumoniae (EU032604.1.gene1.p01)
EU024485.1.gene1.p01, Escherichia_coli (EU024485.1.gene1.p01)
EU155018.1.gene1.p01, Klebsiella_pneumoniae (EU155018.1.gene1.p01)
HM751100.1.gene1.p01, Klebsiella_pneumoniae (HM751100.1.gene1.p01)
FJ194944.1.gene1.p01, Klebsiella_pneumoniae (FJ194944.1.gene1.p01)
AM087453.1.gene1.p01, Escherichia_coli (AM087453.1.gene1.p01)
AY223863.1.gene1.p01, Escherichia_coli (AY223863.1.gene1.p01)
AY518560.gene.p01, Klebsiella_pneumoniae (AY518560.gene.p01)
AF547625.1.gene1.p1, Klebsiella_pneumoniae (AF547625.1.gene1.p1)
FJ668814.gene1.p01, Klebsiella_pneumoniae (FJ668814.gene1.p01)
AJ866285.2.gene1.p01, Klebsiella_pneumoniae (AJ866285.2.gene1.p01)
AJ866284.2.gene1.p01, Klebsiella_pneumoniae (AJ866284.2.gene1.p01)
AB302939.1.gene1.p01, Klebsiella_pneumoniae (AB302939.1.gene1.p01)
AY790341.1.gene1.p01, Klebsiella_pneumoniae (AY790341.1.gene1.p01)
EU586041.1.gene1.p01, Klebsiella_pneumoniae (EU586041.1.gene1.p01)
AY590467.1.gene1.p1, Klebsiella_pneumoniae (AY590467.1.gene1.p1)
DQ174304.1.gene1.p01, Klebsiella_pneumoniae (DQ174304.1.gene1.p01)
EU342351.1.gene1.p01, Klebsiella_pneumoniae (EU342351.1.gene1.p01)
HQ637576.1.gene1.p01, Escherichia_coli (HQ637576.1.gene1.p01)
AY210887.1.gene1.p1, Klebsiella_oxytoca (AY210887.1.gene1.p1)
AY079099.1.gene1.p01, Klebsiella_pneumoniae (AY079099.1.gene1.p01)
AY288915.1.gene1.p01, Klebsiella_pneumoniae (AY288915.1.gene1.p01)
AF535130.1.gene1.p01, Klebsiella_pneumoniae (AF535130.1.gene1.p01)
AF535128.1.gene1.p01, Klebsiella_pneumoniae (AF535128.1.gene1.p01)
AF535129.1.gene1.p01, Klebsiella_pneumoniae (AF535129.1.gene1.p01)
AY070258.1.gene1.p1, Klebsiella_pneumoniae (AY070258.1.gene1.p1)
JX268631.1.gene1.p01, Klebsiella_pneumoniae (JX268631.1.gene1.p01)
AF467947.1.gene1.p1, Klebsiella_pneumoniae (AF467947.1.gene1.p1)
AF467948.1.gene1.p1, Klebsiella_pneumoniae (AF467948.1.gene1.p1)
AF317502.gene.p01, Klebsiella_pneumoniae (AF317502.gene.p01)
EF373971.1.gene1.p01, Acinetobacter_baumannii (EF373971.1.gene1.p01)
EF373973.1.gene1.p01, Enterococcus_faecalis (EF373973.1.gene1.p01)
Y11069.1.gene1.p01, Klebsiella_pneumoniae (Y11069.1.gene1.p01)
AF148851.1.gene1.p01, Escherichia_coli (AF148851.1.gene1.p01)
DQ328802.1.gene1.p01, Klebsiella_pneumoniae (DQ328802.1.gene1.p01)
DQ193536.1.gene1.p01, Klebsiella_pneumoniae (DQ193536.1.gene1.p01)
DQ836922.1.gene1.p01, Klebsiella_pneumoniae (DQ836922.1.gene1.p01)
EF373969.1.gene1.p01, Klebsiella_pneumoniae (EF373969.1.gene1.p01)
EF373970.1.gene1.p01, Klebsiella_pneumoniae (EF373970.1.gene1.p01)
EF373972.1.gene1.p01, Citrobacter_freundii (EF373972.1.gene1.p01)
AB733453.1.gene1.p01, Klebsiella_pneumoniae (AB733453.1.gene1.p01)
AY263404.1.gene1.p1, Klebsiella_pneumoniae (AY263404.1.gene1.p1)
AY528718.1.gene1.p01, Klebsiella_pneumoniae (AY528718.1.gene1.p01)
AY289548.1.gene1.p01, Klebsiella_pneumoniae (AY289548.1.gene1.p01)
X57972.1.gene1.p1, Escherichia_coli (X57972.1.gene1.p1)
AF397066.1.gene1.p1, Escherichia_coli (AF397066.1.gene1.p1)
AF397067.1.gene1.p1, Escherichia_coli (AF397067.1.gene1.p1)
AF397068.1.gene1.p1, Escherichia_coli (AF397068.1.gene1.p1)
AF468003.1.gene1.p1, Escherichia_coli (AF468003.1.gene1.p1)
AF506748.1.gene1.p1, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (AF506748.1.gene1.p1)
AJ318093.1.gene1.p01, Escherichia_coli (AJ318093.1.gene1.p01)
AM049399.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Derby (AM049399.1.gene1.p01)
AM087454.1.gene1.p01, Escherichia_coli (AM087454.1.gene1.p01)
AM941159.1.gene1.p01, Proteus_mirabilis (AM941159.1.gene1.p01)
AY072920.1.gene1.p1, Klebsiella_pneumoniae (AY072920.1.gene1.p1)
AY307100.1.gene1.p1, Escherichia_coli (AY307100.1.gene1.p1)
EF468463.1.gene1.p01, Acinetobacter_haemolyticus (EF468463.1.gene1.p01)
FJ873740.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Infantis (FJ873740.1.gene1.p01)
HM246246.1.gene1.p1, Proteus_mirabilis (HM246246.1.gene1.p1)
AJ634602.gene.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (AJ634602.gene.p01)
FQ312006.1.gene118.p01, Haemophilus_influenzae_10810 (FQ312006.1.gene118.p01)
X64523.1.gene1.p01, Klebsiella_pneumoniae (X64523.1.gene1.p01)
X54606.1.gene1.p01, Pseudomonas_aeruginosa (X54606.1.gene1.p01)
JF949915.1.gene1.p01, Klebsiella_pneumoniae (JF949915.1.gene1.p01)
JF949916.1.gene1.p01, Escherichia_coli (JF949916.1.gene1.p01)
Y14574.2.gene1.p01, Capnocytophaga_ochracea (Y14574.2.gene1.p01)
AF093512.1.gene1.p01, Morganella_morganii (AF093512.1.gene1.p01)
AY874537.1.gene1.p01, Proteus_mirabilis (AY874537.1.gene1.p01)
AM849805.1.gene1.p01, Haemophilus_parainfluenzae (AM849805.1.gene1.p01)
X65254.1.gene1.p01, Klebsiella_pneumoniae (X65254.1.gene1.p01)
GU371926.1.gene94.p01, Escherichia_coli (GU371926.1.gene94.p01)
AF535127.1.gene1.p01, Klebsiella_pneumoniae (AF535127.1.gene1.p01)
AY589494.1.gene1.p01, Proteus_mirabilis (AY589494.1.gene1.p01)
AY589495.1.gene1.p01, Enterobacter_aerogenes (AY589495.1.gene1.p01)
AY589493.1.gene1.p01, Escherichia_coli (AY589493.1.gene1.p01)
AY628175.1.gene1.p01, Escherichia_coli (AY628175.1.gene1.p01)
AF347054.1.gene1.p1, Enterobacter_cloacae (AF347054.1.gene1.p1)
EU815939.1.gene1.p1, Escherichia_coli (EU815939.1.gene1.p1)
EU274580.1.gene1.p1, Klebsiella_pneumoniae (EU274580.1.gene1.p1)
DQ909059.1.gene1.p1, Enterobacter_cloacae (DQ909059.1.gene1.p1)
DQ679961.1.gene1.p01, Proteus_mirabilis (DQ679961.1.gene1.p01)
FJ807656.1.gene1.p01, Escherichia_coli (FJ807656.1.gene1.p01)
EF136377.1.gene1.p01, Proteus_mirabilis (EF136377.1.gene1.p01)
EF136376.1.gene1.p01, Proteus_mirabilis (EF136376.1.gene1.p01)
EF534736.1.gene1.p01, Escherichia_coli (EF534736.1.gene1.p01)
AY243512.1.gene1.p01, Klebsiella_oxytoca (AY243512.1.gene1.p01)
AY130285.1.gene1.p1, Klebsiella_oxytoca (AY130285.1.gene1.p1)
AF190693.1.gene1.p01, Escherichia_coli (AF190693.1.gene1.p01)
AF190695.1.gene1.p01, Escherichia_coli (AF190695.1.gene1.p01)
AF190694.1.gene1.p01, Escherichia_coli (AF190694.1.gene1.p01)
AY130284.1.gene1.p1, Klebsiella_pneumoniae (AY130284.1.gene1.p1)
AF427128.1.gene1.p01, Escherichia_coli (AF427128.1.gene1.p01)
AF427127.1.gene1.p01, Escherichia_coli (AF427127.1.gene1.p01)
Y10281.1.gene1.p01, Escherichia_coli (Y10281.1.gene1.p01)
U95363.2.gene1.p01, Klebsiella_pneumoniae (U95363.2.gene1.p01)
Y10279.1.gene1.p01, Klebsiella_pneumoniae (Y10279.1.gene1.p01)
Y10280.1.gene1.p01, Klebsiella_pneumoniae (Y10280.1.gene1.p01)
AY271267.1.gene1.p01, Escherichia_coli (AY271267.1.gene1.p01)
AY130282.1.gene1.p1, Escherichia_coli (AY130282.1.gene1.p1)
AY628176.1.gene1.p01, Escherichia_coli (AY628176.1.gene1.p01)
AY327540.1.gene1.p01, Morganella_morganii (AY327540.1.gene1.p01)
AY327539.1.gene1.p01, Proteus_mirabilis (AY327539.1.gene1.p01)
AY368236.1.gene1.p1, Escherichia_coli (AY368236.1.gene1.p1)
AY628199.1.gene1.p01, Escherichia_coli (AY628199.1.gene1.p01)
FJ197316.1.gene1.p1, Escherichia_coli (FJ197316.1.gene1.p1)
FJ360884.1.gene1.p01, Escherichia_coli (FJ360884.1.gene1.p01)
FJ919776.1.gene1.p01, Escherichia_coli (FJ919776.1.gene1.p01)
U95364.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (U95364.1.gene1.p01)
DQ125241.gene.p01, Escherichia_coli (DQ125241.gene.p01)
Y10278.1.gene1.p01, Citrobacter_freundii (Y10278.1.gene1.p01)
Y14156.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (Y14156.1.gene1.p01)
AB284167.2.gene1.p01, Shigella_sonnei (AB284167.2.gene1.p01)
AB177384.1.gene1.p01, Escherichia_coli (AB177384.1.gene1.p01)
AB205197.1.gene1.p01, Klebsiella_pneumoniae (AB205197.1.gene1.p01)
AF189721.1.gene1.p01, Citrobacter_amalonaticus (AF189721.1.gene1.p01)
AY598759.gene.p01, Klebsiella_pneumoniae (AY598759.gene.p01)
AF252623.2.gene1.p01, Klebsiella_pneumoniae (AF252623.2.gene1.p01)
AF325133.1.gene1.p1, Klebsiella_pneumoniae (AF325133.1.gene1.p1)
AJ416345.gene.p01, Escherichia_coli (AJ416345.gene.p01)
AF325134.1.gene1.p1, Klebsiella_pneumoniae (AF325134.1.gene1.p1)
AF488377.1.gene1.p1, Escherichia_coli (AF488377.1.gene1.p1)
AF518567.2.gene4.p01, Escherichia_coli (AF518567.2.gene4.p01)
AJ416344.1.gene1.p01, Proteus_mirabilis (AJ416344.1.gene1.p01)
AJ549244.1.gene1.p01, Escherichia_coli (AJ549244.1.gene1.p01)
AJ567481.1.gene1.p01, Providencia_sp._4440 (AJ567481.1.gene1.p01)
AJ704396.1.gene1.p01, Klebsiella_pneumoniae (AJ704396.1.gene1.p01)
AM411407.1.gene1.p01, Klebsiella_pneumoniae (AM411407.1.gene1.p01)
AM982522.2.gene1.p01, Kluyvera_georgiana (AM982522.2.gene1.p01)
AY005110.1.gene1.p1, Klebsiella_pneumoniae (AY005110.1.gene1.p1)
AY080894.1.gene1.p01, Klebsiella_pneumoniae (AY080894.1.gene1.p01)
AY029068.1.gene1.p1, Escherichia_coli (AY029068.1.gene1.p1)
AY156923.1.gene1.p01, Escherichia_coli (AY156923.1.gene1.p01)
AY143430.1.gene1.p01, Klebsiella_pneumoniae (AY143430.1.gene1.p01)
AY157676.1.gene1.p01, Klebsiella_pneumoniae (AY157676.1.gene1.p01)
AY238472.1.gene1.p01, Escherichia_coli (AY238472.1.gene1.p01)
AY292654.1.gene1.p1, Citrobacter_freundii (AY292654.1.gene1.p1)
AY267213.1.gene1.p01, Escherichia_coli (AY267213.1.gene1.p01)
AY033516.1.gene2.p01, Klebsiella_pneumoniae (AY033516.1.gene2.p01)
AY515297.1.gene1.p1, Escherichia_coli (AY515297.1.gene1.p1)
AY649755.1.gene1.p01, Enterobacter_cloacae (AY649755.1.gene1.p01)
AY847144.1.gene1.p01, Klebsiella_pneumoniae (AY847144.1.gene1.p01)
AY847145.1.gene1.p01, Klebsiella_pneumoniae (AY847145.1.gene1.p01)
AY822595.1.gene1.p01, Klebsiella_pneumoniae (AY822595.1.gene1.p01)
AY847143.1.gene1.p01, Escherichia_coli (AY847143.1.gene1.p01)
AY847148.1.gene1.p01, Klebsiella_pneumoniae (AY847148.1.gene1.p01)
AY954516.1.gene1.p1, Escherichia_coli (AY954516.1.gene1.p1)
AY847147.1.gene1.p01, Klebsiella_pneumoniae (AY847147.1.gene1.p01)
AY847146.1.gene1.p01, Klebsiella_pneumoniae (AY847146.1.gene1.p01)
DQ102702.1.gene1.p1, Acinetobacter_baumannii (DQ102702.1.gene1.p1)
DQ023162.1.gene1.p1, Proteus_mirabilis (DQ023162.1.gene1.p1)
DQ061159.1.gene1.p01, Escherichia_coli (DQ061159.1.gene1.p01)
DQ256091.1.gene1.p1, Escherichia_coli (DQ256091.1.gene1.p1)
DQ211987.1.gene1.p01, Escherichia_coli (DQ211987.1.gene1.p01)
DQ223685.1.gene1.p01, Klebsiella_pneumoniae (DQ223685.1.gene1.p01)
DQ408762.1.gene1.p1, Klebsiella_pneumoniae (DQ408762.1.gene1.p1)
DQ885477.1.gene1.p01, Escherichia_coli (DQ885477.1.gene1.p01)
EF210159.1.gene1.p01, Escherichia_coli (EF210159.1.gene1.p01)
EF374097.1.gene1.p01, Escherichia_coli (EF374097.1.gene1.p01)
EF219142.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (EF219142.1.gene1.p01)
EF418608.1.gene1.p01, Escherichia_coli (EF418608.1.gene1.p01)
DQ268764.2.gene6.p01, Salmonella_enterica_subsp._enterica_serovar_Westhampton (DQ268764.2.gene6.p01)
EF426798.1.gene1.p1, Escherichia_coli (EF426798.1.gene1.p1)
EF581888.1.gene1.p01, Escherichia_coli (EF581888.1.gene1.p01)
EU136031.3.gene1.p3, Klebsiella_pneumoniae (EU136031.3.gene1.p3)
EU202673.2.gene1.p2, Klebsiella_pneumoniae (EU202673.2.gene1.p2)
EU177100.1.gene1.p01, Klebsiella_sp._ARS06-441 (EU177100.1.gene1.p01)
EU402393.1.gene1.p1, Escherichia_coli (EU402393.1.gene1.p1)
EU545409.1.gene1.p1, Escherichia_coli (EU545409.1.gene1.p1)
FJ214366.1.gene1.p1, Salmonella_enterica_subsp._enterica_serovar_Derby (FJ214366.1.gene1.p1)
FJ214367.1.gene1.p1, Salmonella_enterica_subsp._enterica_serovar_Derby (FJ214367.1.gene1.p1)
FJ214368.1.gene1.p1, Salmonella_enterica_subsp._enterica_serovar_Albany (FJ214368.1.gene1.p1)
FJ214369.1.gene1.p1, Salmonella_enterica_subsp._enterica_serovar_Agona (FJ214369.1.gene1.p1)
FJ907381.1.gene1.p01, Salmonella_sp._YLD3 (FJ907381.1.gene1.p01)
FJ873739.1.gene1.p01, Salmonella_enterica_subsp._enterica_serovar_Infantis (FJ873739.1.gene1.p01)
FJ815436.1.gene1.p01, Klebsiella_pneumoniae (FJ815436.1.gene1.p01)
FJ971899.1.gene1.p1, Proteus_mirabilis (FJ971899.1.gene1.p1)
GQ149243.1.gene1.p01, Enterobacter_cloacae (GQ149243.1.gene1.p01)
GQ149244.1.gene1.p01, Providencia_stuartii (GQ149244.1.gene1.p01)
GQ351346.1.gene1.p01, Providencia_rettgeri (GQ351346.1.gene1.p01)
GU127598.1.gene1.p1, Escherichia_coli (GU127598.1.gene1.p1)
GQ870432.1.gene1.p1, Proteus_mirabilis (GQ870432.1.gene1.p1)
HM167760.1.gene1.p01, Escherichia_coli (HM167760.1.gene1.p01)
HM776707.1.gene1.p1, Escherichia_coli (HM776707.1.gene1.p1)
HM803271.1.gene1.p01, Klebsiella_pneumoniae (HM803271.1.gene1.p01)
HM755448.1.gene1.p01, Escherichia_coli (HM755448.1.gene1.p01)
HQ398214.1.gene1.p01, Escherichia_coli (HQ398214.1.gene1.p01)
HQ398215.1.gene1.p01, Escherichia_coli (HQ398215.1.gene1.p01)
HQ166709.1.gene1.p01, Escherichia_coli (HQ166709.1.gene1.p01)
HQ833651.1.gene1.p01, Escherichia_coli (HQ833651.1.gene1.p01)
HQ833652.1.gene1.p01, Escherichia_coli (HQ833652.1.gene1.p01)
JF274242.1.gene1.p01, Shigella_sp._SH165 (JF274242.1.gene1.p01)
HQ913565.1.gene1.p01, Escherichia_coli (HQ913565.1.gene1.p01)
JF274246.1.gene1.p01, Shigella_sp._SH257 (JF274246.1.gene1.p01)
JF274247.1.gene1.p01, Shigella_sp._SH284 (JF274247.1.gene1.p01)
JF274243.1.gene1.p01, Shigella_sp._SH202 (JF274243.1.gene1.p01)
JF966749.1.gene1.p01, Proteus_mirabilis (JF966749.1.gene1.p01)
JN227085.1.gene1.p01, Escherichia_coli (JN227085.1.gene1.p01)
AF305837.gene.p01, Klebsiella_pneumoniae (AF305837.gene.p01)
AJ005045.gene.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (AJ005045.gene.p01)
AJ557142.gene.p01, Escherichia_coli (AJ557142.gene.p01)
AY995206.gene.p01, Klebsiella_pneumoniae (AY995206.gene.p01)
