COGID	C01	C03	C04	C05	C06	C07	C10	C12	C14	C15	C16	C17	Func_name
COG0034	9143	11940	11778	11881	8253	9019	11496	7139	7641	6451	17828	12022	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	2577	2833	2452	1807	2317	1995	4920	1958	2894	1841	5850	3383	Uracil phosphoribosyltransferase
COG0036	5494	7686	6789	7502	5460	5734	13535	7489	7734	5599	14193	6584	Pentose-5-phosphate-3-epimerase
COG0037	5215	6626	5779	6346	5602	5572	11753	6706	7511	5591	15427	6254	tRNA(Ile)-lysidine synthase TilS/MesJ
COG0038	8810	12124	10871	13899	10690	10479	24664	12596	12627	10212	22891	4769	H+/Cl- antiporter ClcA
COG0039	7296	9793	9560	9131	7006	7367	12838	6933	8352	6156	16237	9889	Malate/lactate dehydrogenase
COG0040	5122	5896	5766	6388	4454	4227	9425	5092	5827	4467	11194	5118	ATP phosphoribosyltransferase
COG0041	4273	5102	4919	5008	4048	4136	8984	4921	5409	4318	10964	4891	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	6249	8491	7734	8096	6333	6605	7824	5447	4655	4511	14511	7920	tRNA-dihydrouridine synthase
COG0043	8945	16844	15943	13914	10754	11602	22883	12589	14472	9919	44009	15255	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0044	19425	23100	22676	23340	17210	17549	23895	13320	14783	12113	37515	23346	Dihydroorotase or related cyclic amidohydrolase
COG0045	8872	11302	11344	12063	8571	8640	14143	7192	9107	7868	19787	12408	"Succinyl-CoA synthetase, beta subunit"
COG0046	12015	15850	15648	16352	11282	12115	15679	8247	9931	7939	24088	16425	"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain"
COG0047	5445	6797	6439	6693	5179	5212	9508	5359	5899	5067	12608	6406	"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"
COG0048	4163	5658	5285	5283	4319	4440	9410	4981	6262	4734	11045	5201	Ribosomal protein S12
COG0049	4684	6334	6376	6240	4865	4883	10951	5394	6718	5056	11703	6023	Ribosomal protein S7
COG0050	16288	19283	20503	19781	16721	16427	21559	17636	16861	14693	36081	18747	"Translation elongation factor EF-Tu, a GTPase"
COG0051	4533	5305	5242	5152	4323	4352	9545	5447	6130	4257	10901	5047	Ribosomal protein S10
COG0052	6063	7598	7824	7868	5730	6005	11171	6087	7388	5383	13616	8037	Ribosomal protein S2
COG0053	9613	8852	10227	8728	6430	7383	16224	9225	10036	6440	23250	8124	Divalent metal cation (Fe/Co/Zn/Cd) transporter
COG0054	3591	4807	4437	4394	3985	3580	7451	4746	4373	3944	10484	4184	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"
COG0055	11048	14817	14958	14612	10358	11473	14921	7461	9664	8247	20948	16255	"FoF1-type ATP synthase, beta subunit"
COG0056	10943	14535	14761	14435	10255	11308	14934	7439	8889	8031	21376	16273	"FoF1-type ATP synthase, alpha subunit"
COG0057	8854	10477	10935	10630	8343	8870	14636	7393	9219	6656	19578	11987	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	12599	20379	20287	21944	13940	14079	12200	8023	10265	7375	24302	19756	Glucan phosphorylase
COG0059	7281	8846	8548	8926	6490	6356	12444	6789	7361	5593	14189	8861	Ketol-acid reductoisomerase
COG0060	15530	21115	21252	20856	13592	16339	18612	10181	11911	9578	28334	21434	Isoleucyl-tRNA synthetase
COG0061	5229	6375	5979	6127	4766	4878	12741	6452	7491	4924	12825	5226	NAD kinase
COG0062	4383	5244	4994	4854	3953	3892	11765	5099	6770	4463	11082	3951	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain"
COG0063	4987	6058	5665	5834	4429	4816	10084	5405	6809	4999	12870	4624	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain"
COG0064	9819	12532	12150	12513	8418	9490	11751	7511	7934	6728	19500	11920	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
COG0065	12093	15359	16854	15793	11220	12572	15000	10241	11400	8627	25454	15923	Homoaconitase/3-isopropylmalate dehydratase large subunit
COG0066	6892	8054	8204	7954	6271	6599	12057	9355	8647	6009	16221	6805	3-isopropylmalate dehydratase small subunit
COG0067	7779	10127	9188	10088	6926	7144	11576	7081	7132	6194	14608	9185	Glutamate synthase domain 1
COG0068	4978	6132	5886	5890	3944	4421	6756	4104	4658	2757	9397	3201	Hydrogenase maturation factor HypF (carbamoyltransferase)
COG0069	11400	15011	14562	15365	10461	10860	17804	8422	9015	8287	20706	15083	Glutamate synthase domain 2
COG0070	6211	8041	7201	7792	6260	5786	9012	5518	6012	4685	12640	6685	Glutamate synthase domain 3
COG0071	11832	12637	13500	11412	13700	11581	42771	21531	23391	17674	39022	7934	"Molecular chaperone IbpA, HSP20 family"
COG0072	10282	12693	12865	12887	9015	10048	17077	7373	9959	7278	21780	11790	Phenylalanyl-tRNA synthetase beta subunit
COG0073	5339	5751	5448	5336	4926	4843	14206	6842	7935	5552	13725	4570	tRNA-binding EMAP/Myf domain
COG0074	7719	9369	9544	9569	7232	7581	16278	6679	9192	7253	16769	9979	"Succinyl-CoA synthetase, alpha subunit"
COG0075	9767	12156	12937	12495	9047	9528	17503	10284	12221	9217	19945	11265	"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG"
COG0076	11532	13668	14302	13537	9167	10190	13432	7131	7384	5594	23003	13929	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0077	5839	6989	6468	6908	5535	5087	13094	6091	6649	5520	12215	5585	Prephenate dehydratase
COG0078	7082	9056	8736	8427	6319	6648	12159	7705	8663	6307	15991	9076	Ornithine carbamoyltransferase
COG0079	13587	15138	14832	14841	11229	11210	20240	12187	11845	10432	28889	13225	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0080	4723	6157	5971	6005	4758	5034	9895	5265	6144	4842	11870	5976	Ribosomal protein L11
COG0081	5630	7309	7286	7294	5629	5944	12356	5581	7094	5165	13332	7097	Ribosomal protein L1
COG0082	7139	9048	8652	8931	6667	6914	13492	7996	7894	5941	15226	8450	Chorismate synthase
COG0083	3273	3765	4018	3848	2364	2829	7953	3455	4849	2561	8193	3298	Homoserine kinase
COG0084	5863	7296	6805	7005	5378	5709	11596	6653	7088	5489	14992	6281	Tat protein secretion system quality control protein TatD (DNase activity)
COG0085	21562	30544	31234	30458	20199	24088	25598	12232	16784	13891	39092	32703	"DNA-directed RNA polymerase, beta subunit/140 kD subunit"
COG0086	18683	24466	24794	24725	16308	19657	23826	11949	15098	11292	33674	26005	"DNA-directed RNA polymerase, beta' subunit/160 kD subunit"
COG0087	5250	6987	6784	7002	5102	5285	10767	5968	6758	4695	12287	6484	Ribosomal protein L3
COG0088	4624	5976	5570	6033	4659	4685	10052	5853	6056	4509	12058	5018	Ribosomal protein L4
COG0089	3579	4391	3891	4186	3662	3524	8885	4775	5484	3807	10005	3648	Ribosomal protein L23
COG0090	6180	8272	8181	8502	6101	6659	12298	5760	7669	5268	13933	8173	Ribosomal protein L2
COG0091	3903	5160	4633	4761	4014	3936	9182	4911	5673	4103	10810	4555	Ribosomal protein L22
COG0092	5431	7315	7056	7060	5415	6098	11214	5613	6520	5087	13093	7189	Ribosomal protein S3
COG0093	4152	5378	5064	5187	4283	4247	9977	4980	5680	4282	11064	4949	Ribosomal protein L14
COG0094	5218	6816	6291	6593	5041	5064	10296	5824	6197	4440	12254	6059	Ribosomal protein L5
COG0095	1677	919	1196	848	1083	1140	4044	1583	2742	2035	4250	1095	Lipoate-protein ligase A
COG0096	4477	5460	5146	5296	4356	4165	10312	5123	5855	4426	10666	4665	Ribosomal protein S8
COG0097	4798	6159	6081	6118	4936	5006	10218	5163	6602	4631	11725	5837	Ribosomal protein L6P/L9E
COG0098	4870	6108	5944	5694	4628	4865	10460	5073	6476	4409	11920	5393	Ribosomal protein S5
COG0099	4484	5575	5570	5560	4330	4469	10233	4885	6044	4632	11176	5145	Ribosomal protein S13
COG0100	4215	5510	5325	5321	4353	4429	9782	5029	5887	4402	10385	5315	Ribosomal protein S11
COG0101	5342	6663	6260	6627	4890	5396	9808	6048	5378	4562	12619	6298	"tRNA U38,U39,U40 pseudouridine synthase TruA"
COG0102	4308	5712	5200	5282	4306	4387	9742	5374	5774	4375	11353	5036	Ribosomal protein L13
COG0103	4045	5504	4931	5244	4167	4084	9282	4895	5836	4316	11025	4693	Ribosomal protein S9
COG0104	8390	11195	10969	11200	7832	8584	14457	6676	8264	6352	17731	10931	Adenylosuccinate synthase
COG0105	4344	5501	4959	5185	4394	4081	9555	5094	6132	4600	11357	4353	Nucleoside diphosphate kinase
COG0106	4629	5679	5108	5370	4589	4175	10066	5547	6054	4419	11552	4567	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	5316	6395	6024	6191	5136	4901	10999	6519	6814	4660	12171	6049	Imidazole glycerol phosphate synthase subunit HisF
COG0108	5395	7465	6371	6588	5301	5111	8760	5527	5191	5037	13759	6775	"3,4-dihydroxy-2-butanone 4-phosphate synthase"
COG0109	7054	8812	8471	8499	6302	6453	15365	6562	9073	5684	15308	7194	Polyprenyltransferase (heme O synthase)
COG0110	4727	4587	3571	3842	4072	3965	7535	4583	5766	4514	12938	3351	Acetyltransferase (isoleucine patch superfamily)
COG0111	17823	21853	20019	20161	18643	17500	30539	19845	17802	15236	40569	17887	Phosphoglycerate dehydrogenase or related dehydrogenase
COG0112	9672	11618	11262	12328	8485	9584	19026	7974	12171	7648	18751	11493	Glycine/serine hydroxymethyltransferase
COG0113	6809	8768	8483	8460	6264	6686	12348	5988	7516	6089	14779	8416	"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"
COG0114	8114	11326	11169	10897	7759	7637	15012	7571	6959	6321	15260	10472	Fumarate hydratase class II
COG0115	13120	15773	14896	15553	12374	12177	22728	12842	14096	11519	28943	14409	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	1896	1748	1447	1880	1555	1381	3367	1871	1830	1711	3636	1839	23S rRNA G2445 N2-methylase RlmL
COG0117	3318	4411	3862	3858	3454	3260	6110	4258	3872	3113	9949	3324	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD
COG0118	4579	5473	5233	5215	4667	4184	7706	4961	5963	3884	11261	4457	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
COG0119	21478	23890	26096	23556	17061	18151	30982	17852	21642	14316	41685	23437	Isopropylmalate/homocitrate/citramalate synthases
COG0120	2686	4058	3849	4168	3566	3102	5939	3409	3264	2664	5427	2107	Ribose 5-phosphate isomerase
COG0121	1714	1446	965	1339	1043	758	2732	755	1335	611	2882	1674	Predicted glutamine amidotransferase
COG0122	8151	9975	9107	8575	6876	7101	14559	6583	8711	5527	19138	8034	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	7393	8485	8271	7945	6340	6519	14458	8277	9318	6361	15893	8410	Acetoin utilization deacetylase AcuC or a related deacetylase
COG0124	8660	10479	10698	10866	7629	8935	15927	9346	9162	7065	19666	9704	Histidyl-tRNA synthetase
COG0125	7976	8654	8908	9283	6933	7219	15463	8980	10614	7805	18930	7402	Thymidylate kinase
COG0126	8278	10772	10373	10282	7728	8451	14970	7348	8979	6290	16850	10392	3-phosphoglycerate kinase
COG0127	4905	5539	5050	5210	4519	4431	10412	5528	6278	4579	11856	4550	"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family"
COG0128	7232	9179	8780	9375	6844	7109	13145	7416	7574	6257	16290	8213	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	18916	24556	22162	24759	17314	18167	28241	14449	14431	11436	32665	23906	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	5107	6128	5738	5943	4624	4836	12779	6616	6685	4553	12739	4831	"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA"
COG0131	4478	5657	4809	5226	4223	3884	9787	4614	5921	4171	11783	5052	Imidazoleglycerol phosphate dehydratase HisB
COG0132	2151	2501	1934	2331	1822	1974	5254	2388	2674	2444	4932	1533	Dethiobiotin synthetase
COG0133	7997	10061	10188	10285	6921	7993	13770	7039	8801	6569	15880	10946	Tryptophan synthase beta chain
COG0134	5112	6617	6201	5904	4582	4805	11282	5432	6481	4526	13622	5845	Indole-3-glycerol phosphate synthase
COG0135	4167	5587	5133	5182	4290	4145	9133	5802	6178	4202	11595	4331	Phosphoribosylanthranilate isomerase
COG0136	8418	11416	11301	11367	8167	8524	14433	8380	8597	7045	17867	9402	Aspartate-semialdehyde dehydrogenase
COG0137	8322	10877	10481	10742	7377	7900	13592	7186	8840	6699	16736	10437	Argininosuccinate synthase
COG0138	12191	15510	14882	14937	11163	11493	21126	11176	12417	9867	26747	15186	AICAR transformylase/IMP cyclohydrolase PurH
COG0139	3445	3915	3543	3757	3175	2924	8046	4684	5221	3669	9009	2881	Phosphoribosyl-AMP cyclohydrolase
COG0140	1513	2185	1458	1661	2229	1556	2652	1776	1707	1515	5319	1441	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	6968	9095	8610	9184	6819	6909	14597	7517	8226	6522	16359	7354	Histidinol dehydrogenase
COG0142	12081	14846	14039	14554	11386	11298	23441	12832	14824	11021	27828	13205	Geranylgeranyl pyrophosphate synthase
COG0143	11495	13265	13339	13354	9577	10563	21745	10626	11728	8693	21750	12951	Methionyl-tRNA synthetase
COG0144	4766	7096	6447	7028	6118	5892	8891	5330	4706	4405	13807	6057	"16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family"
COG0145	16645	24967	23454	22519	17592	18728	34663	13443	17462	12940	47459	23726	"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit"
COG0146	14325	21527	20146	18531	15832	16804	34368	14535	16115	11607	45838	20065	"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit"
COG0147	10061	13020	12301	12390	9279	9369	15472	8285	9742	7757	23071	14477	Anthranilate/para-aminobenzoate synthases component I
COG0148	10388	13334	13377	13931	9645	10441	18405	9257	10721	9067	22978	14212	Enolase
COG0149	5946	7046	7042	6994	5224	5629	11514	5831	7064	5496	13283	6918	Triosephosphate isomerase
COG0150	6263	8268	7871	8082	5942	5974	10334	5724	6440	5227	14720	7756	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	8434	10676	10040	10634	7380	7794	13524	6615	7767	6410	18755	9667	Phosphoribosylamine-glycine ligase
COG0152	6335	8057	8158	8240	6123	6354	10710	6362	7417	5464	14116	7444	Phosphoribosylaminoimidazole-succinocarboxamide synthase
COG0153	4874	4681	4583	4908	3792	3219	5684	4369	4540	3235	9298	4174	Galactokinase
COG0154	45281	57174	59358	56423	45254	45033	57903	40352	36109	31888	95091	54430	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0155	9009	11757	11382	12317	8857	8985	14643	8808	8151	7680	18828	10041	"Sulfite reductase, beta subunit (hemoprotein)"
COG0156	11012	14332	14139	14767	11749	11818	16095	10725	10626	10160	23606	12945	7-keto-8-aminopelargonate synthetase or related enzyme
COG0157	4634	6219	5538	5744	4748	4528	7549	5353	4487	4200	11089	4846	Nicotinate-nucleotide pyrophosphorylase
COG0158	1143	1572	1030	1508	1695	1058	3418	1248	1652	962	2242	1577	"Fructose-1,6-bisphosphatase"
COG0159	5653	6573	6180	6635	4744	4984	14164	7024	9434	5537	12575	5876	Tryptophan synthase alpha chain
COG0160	16412	19186	19212	18115	11843	14204	24344	11689	15254	10331	30541	20318	4-aminobutyrate aminotransferase or related aminotransferase
COG0161	13380	17990	15902	16243	13364	13473	16240	10548	9929	9228	27968	16637	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	7419	9284	9854	9547	6677	7630	13435	6262	7739	6309	16162	8563	Tyrosyl-tRNA synthetase
COG0163	2810	4179	3902	3730	3265	3076	6323	4095	4656	3054	8925	3699	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	4235	5609	5240	5315	4368	4424	10548	5069	6229	4270	11847	4706	Ribonuclease HII
COG0165	8416	11045	10653	10756	7991	8071	14953	7743	9372	6443	17785	10989	Argininosuccinate lyase
COG0166	9126	12637	12451	12581	9123	9515	14879	8017	9256	7676	19682	11812	Glucose-6-phosphate isomerase
COG0167	9636	11211	11609	12206	9298	8961	13807	8923	9707	8408	22675	11260	Dihydroorotate dehydrogenase
COG0168	683	995	584	903	536	704	302	799	355	376	1084	435	"Trk-type K+ transport system, membrane component"
COG0169	6292	7800	7545	7869	6122	6443	11817	6111	6888	5421	15631	6646	Shikimate 5-dehydrogenase
COG0170	317	338	173	288	188	278	969	733	734	384	609	322	Dolichol kinase
COG0171	6046	7234	7284	7193	5798	5892	12563	8499	7622	5430	14595	7397	NH3-dependent NAD+ synthetase
COG0172	8953	11340	11251	11510	8235	9220	16959	8374	9930	7171	18744	10318	Seryl-tRNA synthetase
COG0173	9994	14268	13672	14379	9744	10565	13343	8047	8417	7389	21431	14229	Aspartyl-tRNA synthetase
COG0174	22372	27742	26650	26512	18851	19401	35375	16858	18858	14294	42273	25782	Glutamine synthetase
COG0175	8528	11980	9544	11313	8609	8302	15047	7554	8553	7223	21663	10179	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme
COG0176	9017	11214	12190	10921	8265	9129	16918	10414	10451	7739	20723	9544	Transaldolase
COG0177	6661	7652	7241	7165	5954	5922	15831	7990	10414	7353	18354	7230	Endonuclease III
COG0178	31188	39795	40575	41717	27435	29685	31506	17034	22881	18075	55238	45554	Excinuclease UvrABC ATPase subunit
COG0179	17316	22013	20108	21014	16815	15782	33655	16484	17223	13105	39479	16696	"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
COG0180	7646	9073	8933	8836	6725	6889	12199	6773	7875	5260	15815	8488	Tryptophanyl-tRNA synthetase
COG0181	5522	7132	6499	6726	4978	5256	12317	5714	6868	5250	13402	5720	Porphobilinogen deaminase
COG0182	5481	7188	6844	7049	5070	5228	11882	7039	7574	5818	14342	6813	"Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit"
COG0183	44398	52027	52261	49888	37755	37232	71582	33662	43008	36041	92185	51799	Acetyl-CoA acetyltransferase
COG0184	3493	4435	3874	4094	3420	3513	8694	4687	5360	3762	9591	3640	Ribosomal protein S15P/S13E
COG0185	3909	4957	4700	4651	3973	3930	9073	4838	5621	4097	10138	4640	Ribosomal protein S19
COG0186	3658	4403	4060	4286	3560	3531	8852	4980	5538	4156	9826	3632	Ribosomal protein S17
COG0187	17676	24555	24583	25122	17326	19583	20012	11232	12534	12582	33802	27259	"DNA gyrase/topoisomerase IV, subunit B"
COG0188	19404	25967	26406	26214	18154	20738	21404	11819	13386	13120	37068	27647	"DNA gyrase/topoisomerase IV, subunit A"
COG0189	7737	7526	7224	7512	6870	6234	11284	8410	8080	7680	16054	6191	"Glutathione synthase/RimK-type ligase, ATP-grasp superfamily"
COG0190	6232	8150	7998	7938	6196	6491	12390	5971	7387	5187	14554	7260	"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase"
COG0191	3105	3639	2742	3578	2442	2680	6023	2069	2834	1875	6021	3600	Fructose/tagatose bisphosphate aldolase
COG0192	9108	11376	11091	10930	7796	8714	14395	7536	8505	6514	18281	12580	S-adenosylmethionine synthetase
COG0193	4687	5757	5410	5208	4285	4547	7596	4965	4888	3786	11875	4783	Peptidyl-tRNA hydrolase
COG0194	5131	5852	5428	5813	4031	4476	8350	5411	5076	3792	11436	4885	Guanylate kinase
COG0195	5006	6750	6319	6325	5142	5053	12421	5307	7760	5159	13083	6324	"Transcription antitermination factor NusA, contains S1 and KH domains"
COG0196	5613	6603	6620	6735	5027	5461	10177	5177	5998	4364	13333	6088	FAD synthase
COG0197	4560	5670	5634	5652	4398	4627	9596	5272	6240	4538	11168	5123	Ribosomal protein L16/L10AE
COG0198	3562	4523	4139	4354	3667	3737	9324	4724	5466	4145	9925	3761	Ribosomal protein L24
COG0199	2984	3774	3095	3525	3180	2939	5517	3558	3686	3016	8395	3117	Ribosomal protein S14
COG0200	4332	5542	4784	5158	4114	4266	9339	5093	5769	4214	11449	4469	Ribosomal protein L15
COG0201	8910	11776	11856	11963	8301	9327	13322	7398	8669	7175	17225	11433	Preprotein translocase subunit SecY
COG0202	7719	10091	9821	9577	7279	7822	13325	7188	8511	6244	16461	10432	"DNA-directed RNA polymerase, alpha subunit/40 kD subunit"
COG0203	4187	5187	4883	4768	3924	4044	7052	4544	4505	3924	10859	4577	Ribosomal protein L17
COG0204	15113	15768	14579	14760	11926	11270	22173	15579	16217	13340	37649	13216	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	8231	8727	9108	8792	6412	6855	9969	6871	8196	5969	18978	10596	6-phosphofructokinase
COG0206	7561	9850	9805	9609	7354	7312	14875	7184	11098	6622	17718	10848	Cell division GTPase FtsZ
COG0207	2772	2702	2267	2721	2458	2221	1085	1260	882	1509	5773	2673	Thymidylate synthase
COG0208	3472	3048	2366	2592	2899	2671	8917	3778	4907	3339	7125	2299	"Ribonucleotide reductase beta subunit, ferritin-like domain"
COG0209	13807	17248	16701	17973	13052	13982	22169	10854	12637	11960	27784	17933	Ribonucleotide reductase alpha subunit
COG0210	26992	27875	28880	27951	18533	22541	30615	17655	19050	16126	47053	29004	Superfamily I DNA or RNA helicase
COG0211	3716	4427	3996	4255	3606	3422	6840	4875	4466	3731	9778	3606	Ribosomal protein L27
COG0212	2078	2477	1789	2199	1971	1569	5172	2036	1437	2158	4998	1639	5-formyltetrahydrofolate cyclo-ligase
COG0213	5836	5803	6334	5849	3732	4233	5384	4986	3833	3439	9748	5895	Thymidine phosphorylase
COG0214	4668	4952	5625	5327	3127	3742	9217	4170	5124	3847	8162	4458	Pyridoxal biosynthesis lyase PdxS
COG0215	12713	13052	14136	13720	9687	10671	24095	9522	12747	9310	23725	12856	Cysteinyl-tRNA synthetase
COG0216	8676	10689	10654	10825	7488	8639	11148	6157	7338	5701	19284	11029	Protein chain release factor A
COG0217	6171	8510	7645	7916	5505	6270	9701	5751	5819	4575	14837	7876	Transcriptional and/or translational regulatory protein YebC/TACO1
COG0218	2114	3206	3060	3326	2723	2779	3873	3664	2314	2938	5659	2356	GTP-binding protein EngB required for normal cell division
COG0219	1167	1862	1438	1548	1664	1527	1817	1331	1182	1561	4236	1395	"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"
COG0220	2287	2809	2418	2809	3020	2676	2859	2241	1498	2223	5420	2328	tRNA G46 methylase TrmB
COG0221	4590	5686	4678	4505	4271	4311	5995	3832	4887	3717	10555	3484	Inorganic pyrophosphatase
COG0222	4916	5643	5238	5353	4308	4443	7300	5663	5121	4445	11827	4937	Ribosomal protein L7/L12
COG0223	7893	10194	9720	10307	7806	8090	12957	9036	8367	7606	19503	8421	Methionyl-tRNA formyltransferase
COG0224	7077	9095	8948	8916	6607	6935	10075	5708	6581	5489	15792	8851	"FoF1-type ATP synthase, gamma subunit"
COG0225	7281	9488	8793	9523	7170	7550	11689	6985	6680	5693	15690	8809	Peptide methionine sulfoxide reductase MsrA
COG0226	9943	12076	10856	12198	9691	8939	14968	10684	10563	7484	20647	8928	"ABC-type phosphate transport system, periplasmic component"
COG0227	2887	3562	2925	3135	2913	2775	5148	3874	3222	2897	8506	2677	Ribosomal protein L28
COG0228	3468	4358	3747	3845	3364	3427	6403	4231	4281	3482	9829	3412	Ribosomal protein S16
